TMLT,FSN,CHANGEDATE
328012,ACTH stimulation test using IM corticosteroids in Serum or Plasma,20220502
340015,Acute leukemia panel - XXX specimen by Flow cytometry (FC),20191011
320509,Acylcarnitine and amino acids profile [umol/L] in DBS By Tandam Mass Spectromery,20210216
351167,Adenovirus and Norovirus and Rotavirus Ag panel in Stool by Rapid immunoassay,20220301
320275,Albumin/Creatinine [Index] in Urine,20200217
381311,Alpha thalassemia gene panel in Blood by Molecular genetics method,20220105
320486,Amino acid newborn screen panel in Dried blood spot,20210118
320333,Amino acids panel in Cerebral spinal fluid,20210401
320263,Amino acids panel in Serum or Plasma,20240701
320685,Amino acids panel in Urine,20240701
360159,ANA 12 Profile,20201116
360380,ANA Profile 16 Ab in Serum or Plasma by Line blot,20250303
360317,ANA profile 18 Ag ,20221003
360273,Anti ENA profile in Blood by Immunoblot,20210802
360274,Anti Myositis profile in Serum by Immunoblot,20210802
320487,Anti-Acetylcholine Receptor and muscle specific tyrosine kinase in Serum,20210118
330269,Antipsychotics drug panel Blood or Urine by Screen method,20210104
308094,aPTT mixing study panel in Platelet poor plasma,20230501
308090,aPTT panel in Platelet poor plasma,20210623
300073,Auto Differential panel in Blood,20200518
360071,Autoimmune Encephalitis Assay (IFA) Panel,20191011
360381,Autoimmune liver disease 4 Ab in Serum or Plasma by Line blot,20250303
360150,Autoimmune liver diseases IgG panel in Serum or Plasma by Line blot,20230501
350546,Bacteria # 2 identified and Susceptibility panel in Blood by Culture and Disk diffusion,20200505
350547,Bacteria # 2 identified and Susceptibility panel in Blood by Culture and Minimum inhibitory concentration (MIC),20200505
350549,Bacteria # 3 identified and Susceptibility panel in Blood by Culture and Disk diffusion,20200505
350550,Bacteria # 3 identified and Susceptibility panel in Blood by Culture and Minimum inhibitory concentration (MIC),20200505
350552,Bacteria identified and Susceptibility panel in Blood by Culture and Disk diffusion,20200505
350553,Bacteria identified and Susceptibility panel in Blood by Culture and Minimum inhibitory concentration (MIC),20200505
350618,Bacteria identified and Susceptibility panel in Dialysis Fluid by Culture and Disk diffusion,20200601
350617,Bacteria identified and Susceptibility panel in Dialysis Fluid by Culture and Minimum inhibitory concentration (MIC) ,20200601
350008,Bacteria identified in Blood by Aerobe culture and susceptibility panel,20200417
350012,Bacteria identified in Blood by Anaerobe culture and susceptibility panel,20200417
350028,"Bacteria identified in Blood by Culture and sensitivity, Automate ต่อ 1 ขวด",20191011
350002,Bacteria identified in Blood by Culture and susceptibility panel,20200417
350963,Bacteria identified in Body fluid by Aerobe culture and susceptibility panel,20210317
350619,Bacteria identified in Body fluid by Anaerobe culture and susceptibility panel,20200601
350960,Bacteria identified in Bone marrow by Aerobe culture and susceptibility panel,20210317
351007,Bacteria identified in Bronchial specimen by Aerobe culture and susceptibility panel,20210401
350965,Bacteria identified in Bronchoalveolar lavage by Aerobe culture and susceptibility panel,20210317
350688,Bacteria identified in Catheter tip by Aerobe culture and susceptibility panel,20200616
350928,Bacteria identified in Cerebral spinal fluid by Aerobe culture and susceptibility panel,20210401
350982,Bacteria identified in Cervix by Aerobe culture and susceptibility panel,20210317
350959,Bacteria identified in Eye by Aerobe culture and susceptibility panel,20210317
350976,Bacteria identified in Gastric content by Aerobe culture and susceptibility panel,20210317
350967,Bacteria identified in Penis by Aerobe culture and susceptibility panel,20210317
350896,Bacteria identified in Peritoneal fluid by Aerobe culture and susceptibility panel,20210118
350514,Bacteria identified in Pleural fluid by Anaerobe culture and susceptibility panel,20200417
350828,Bacteria identified in Pus by Aerobe culture and Susceptibility panel,20210201
350830,Bacteria identified in Rectal swab by Aerobe culture and susceptibility panel,20210201
350010,Bacteria identified in Sputum by Aerobe culture and susceptibility panel,20200417
350006,Bacteria identified in Sputum by Culture and susceptibility panel,20200417
350014,Bacteria identified in Stool by Anaerobe culture and susceptibility panel,20200417
350005,Bacteria identified in Stool by Culture and susceptibility panel,20200417
351271,Bacteria identified in Synovial fluid by Anaerobe culture and susceptibility panel,20240501
350832,Bacteria identified in Throat by Aerobe culture and susceptibility panel,20210201
350833,Bacteria identified in Tissue by Aerobe culture and susceptibility,20210104
350004,Bacteria identified in Urine by Culture and susceptibility panel,20200417
350969,Bacteria identified in Vaginal fluid by Aerobe culture and susceptibility panel,20210317
351316,Bacteria identified in Vesicle fluid by Aerobe culture and susceptibility panel,20250203
350009,Bacteria identified in Wound by Aerobe culture and susceptibility panel,20200417
350013,Bacteria identified in Wound by Anaerobe culture and susceptibility panel,20200417
350003,Bacteria identified in Wound by Culture and susceptibility panel,20200417
350007,Bacteria identified in XXX specimen by Aerobe culture and susceptibility panel,20200417
350011,Bacteria identified in XXX specimen by Anaerobe culture and susceptibility panel,20200417
350001,Bacteria identified in XXX specimen by Culture and susceptibility panel,20200417
