TMLT,FSN,CHANGEDATE
380037,*B cell crossmatch [+/-] in Blood,20200114
380039,*B cell crossmatch [+/-] in Blood from Donor,20200114
380036,*HLA-DQB1 [Type] by High resolution,20200114
380032,*HLA-DRB1 [Type] by High resolution,20200114
380033,*HLA-DRB3 [Type] by High resolution,20200114
380034,*HLA-DRB4 [Type] by High resolution,20200114
380035,*HLA-DRB5 [Type] by High resolution,20200114
380038,*T cell crossmatch [+/-] in Blood,20200114
380040,*T cell crossmatch [+/-] in Blood from Donor,20200114
320631,"1,25-Dihydroxyvitamin D [pg/mL] in Serum or Plasma",20220901
350772,"1,3 beta glucan [+/-] in Serum",20201001
320384,"1,5-Anhydroglucitol [ug/mL] in Serum or Plasma",20200601
330167,10-Hydroxycarbazepine [ug/mL] in Serum or Plasma,20200901
381238,10q23 g.94645745G>A [Genotype] in Blood or Tissue by Molecular genetics method Nominal,20210301
320175,17-Hydroxycorticosteroids [mg/24 H] in 24 hour Urine,20191011
320173,17-Hydroxyprogesterone [ng/mL] in Serum or Plasma,20191011
320174,17-Hydroxyprogesterone [ng/mL] in Urine,20191011
320172,17-Ketosteroids [ug/24 H] in 24 hour Urine,20191011
381239,1p and 19q chromosome deletion [+/-] in Fixed tissue by Molecular genetics method,20220502
310044,"2,4-Dinitrophenylhydrazine reacting substances [+/-] in Urine",20200616
330226,"2,5-Hexanedione [mg/L] in Blood",20201116
330276,"2,5-Hexanedione [mg/L] in Urine",20210118
308060,20 minute whole blood clotting test,20200518
320615,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [ng/mL] in Serum or Plasma,20220601
330482,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [+/-] in Urine by Screen method",20220301
310049,2-Hexanol [mg/L] in Urine,20201001
385016,34-beta-E12 Ag [+/-] in Tissue by Immune stain,20201102
320608,3-Methoxytyramine [ug/24.h] in 24 hour Urine,20220502
381258,5-Alpha Reductase Deficiency (SRD5A2 gene) in Blood or Tissue,20210401
320197,5-Hydroxyindoleacetate [mg/24 H] in 24 hour Urine,20191011
320198,5-Hydroxyindoleacetate [umol/d] in 24 hour Urine,20191011
320550,5'-Nucleotidase [U/L] in Serum or Plasma,20210503
330495,6-Monoacetylmorphine (6-MAM) [ng/mL] in Serum or Plasma,20220401
330419,6-Monoacetylmorphine (6-MAM) [ng/mL] in Urine by Confirmatory method,20211201
320599,8-Hydroxydeoxyguanosine/Creatinine [ng/mg creatinine] in Urine,20220105
385444,A IgM Ab [Titer] in Serum or Plasma,20230703
330329,Abametin [ug/mL] in XXX specimen,20210317
381079,ABCD1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method Narrative,20191011
220090,ABH substance in saliva ,20210618
220111,ABO and Rh group [Type] in Capillary blood,20220601
220112,ABO and Rh group panel in Blood,20220601
220003,ABO Cell grouping By Slide method,20210618
350778,Acanthamoeba sp and Naegleria sp identified in XXX specimen by Organism specific culture,20201102
351102,Acanthamoeba sp DNA [+/-] in XXX specimen by NAA with probe detection,20210802
350435,Acanthamoeba sp identified in Cerebral spinal fluid by Organism specific culture,20210503
350436,Acanthamoeba sp identified in Cornea or Conjunctiva by Organism specific culture,20191011
350434,Acanthamoeba sp identified in Eye by Organism specific culture,20191011
350433,Acanthamoeba sp identified in XXX specimen by Organism specific culture,20191011
300150,Acanthocytes [+/-] in Blood by Light microscopy,20200701
330007,Acetaminophen [+/-] in Gastric fluid,20191011
330005,Acetaminophen [+/-] in Serum or Plasma,20191011
330006,Acetaminophen [+/-] in Urine,20191011
330008,Acetaminophen [+/-] in XXX specimen,20191011
330001,Acetaminophen [ug/mL; mg/L] in Serum or Plasma,20200417
330003,Acetaminophen [ug/mL] in Gastric fluid,20191011
330002,Acetaminophen [ug/mL] in Urine,20191011
330004,Acetaminophen [ug/mL] in XXX specimen,20191011
330168,Acetone [+/-] in XXX specimen,20200901
330010,Acetone [mg/dL; mg/L] in Urine,20210104
