GPPID1,GPPID2
1186257,1044174
1044249,1044265
1044306,1044323
1044381,1044404
1044470,1044491
1044539,1044556
1044594,1044616
1044659,1044671
1044713,1044732
1044750,1044778
1206419,1044830
1162152,1044853
1162374,1044876
1044951,1044979
1044998,1045016
1159773,1045059
1180688,1045071
1045139,1045156
1045173,1045194
1045211,1045230
1045253,1045276
1045295,1045314
1045419,1045435
1172892,1045474
1182237,1045517
1045658,1045670
1045691,1045712
1045997,1046015
1046036,1046058
1046138,1046155
1046172,1046193
1046252,1046275
1046299,1046313
1046332,1046350
1046418,1046439
1046456,1046473
1046494,1046516
1046537,1046559
1046592,1046619
1046635,1046657
1149434,1046753
1046833,1046851
1046879,1046898
1046912,1046931
1046954,1046977
1046996,1047012
1047031,1047054
1047077,1047096
1046537,1047168
1047201,1047229
1047390,1047414
1047433,1047451
1047433,1047479
1047511,1047530
1214682,1047576
1047613,1047632
1193549,1047763
1193512,1047785
1047860,1047887
1047943,1047962
1047943,1047989
1048026,1048042
1215758,1048061
1048088,1048100
1153150,1048128
1148427,1048192
1152539,1048214
1152587,1048233
1048251,1048279
1048298,1048312
1048331,1048354
1048377,1048396
1048493,1048515
1048536,1048543
1048570,1048591
1048639,1048656
1048694,1048710
1048809,1048821
1048866,1048884
1048995,1049010
1049099,1049113
1152310,1049150
1174394,1050150
1050243,1050262
1050338,1050355
1050393,1050412
1050546,1050567
1206419,1050774
1199255,1050800
1050844,1050863
1050939,1050956
1050939,1050973
1051046,1051067
1051120,1051149
1197183,1051344
1051385,1051407
1152265,1051647
1051739,1051756
1051794,1051815
1051917,1051938
1051972,1051993
1152692,1052116
1052280,1052308
1189515,1052455
1168069,1052723
1171776,1052809
1053008,1053020
1053217,1053238
1053303,1053326
1053303,1053342
1053303,1053361
1053405,1053422
1053553,1053576
1053666,1053684
1053728,1053744
1053785,1053802
1053989,1054002
1054073,1054094
1054162,1054189
1054250,1054278
1054348,1054369
1054437,1054459
1054492,1054519
1054557,1054574
1054617,1054638
1054877,1054896
1055161,1055188
1055208,1055220
1055249,1055265
1055283,1055306
1055323,1055347
1055368,1055381
1055404,1055427
1055443,1055462
1055489,1055502
1055525,1055541
1050844,1055594
1055616,1055637
1055659,1055671
1055692,1055713
1044539,1055807
1055824,1055848
1055869,1055882
1055905,1055922
1055946,1055967
1055980,1056000
1056044,1056063
1056085,1056102
1056125,1056141
1056160,1056187
1056207,1056224
1056248,1056269
1056282,1056305
1056322,1056346
1056367,1056380
1056403,1056426
1056442,1056461
1056488,1056501
1056529,1056540
1056564,1056586
1056604,1056627
1056643,1056662
1056689,1056708
1056720,1056749
1056765,1056783
1056806,1056823
1056847,1056868
1056881,1056909
1056921,1056945
1056966,1056984
1057009,1057021
1057045,1057066
1057084,1057107
1057124,1057148
1057169,1057182
1057202,1057225
1057241,1057260
1057287,1057304
1057327,1057343
1057389,1057406
1057423,1057447
1057468,1057481
1057520,1057549
1057565,1057583
1046252,1057614
1057633,1057651
1057679,1057698
1057717,1057738
1057755,1057772
1057793,1057819
1057835,1057857
1057890,1057916
1057937,1057959
1057971,1057992
1046456,1058027
1058043,1058062
1058089,1058101
1058129,1058140
1058164,1058186
1058206,1058223
1058247,1058268
1058309,1058321
1058345,1058366
1058384,1058402
1058425,1058441
1058460,1058487
1058500,1058528
1058585,1058603
1058642,1058661
1058688,1058707
1058724,1058748
1058769,1058782
1058805,1058822
1058846,1058867
1058880,1058908
1058920,1058949
1058965,1058983
1059007,1059024
1059048,1059069
1059082,1059105
1059122,1059146
1059167,1059180
1059200,1059228
1059244,1059263
1059285,1059302
1059325,1059341
1059360,1059387
1059409,1059421
1059445,1059466
1059484,1059506
1059523,1059547
1059568,1059581
1059608,1059620
1059649,1059665
1059683,1059704
1059727,1059743
1059762,1059789
1059864,1059886
1059903,1059926
1059942,1059961
1059988,1060002
1060025,1060041
1060104,1060127
1060162,1060189
1060209,1060221
1060245,1060266
1060284,1060307
1060324,1060348
1060369,1060382
1060400,1060428
1060444,1060463
1060485,1060503
1060526,1060542
1060588,1060601
1060629,1060640
1060664,1060686
1060705,1060722
1060746,1060767
1060780,1060808
1060820,1060849
1060865,1060883
1060906,1060923
1060947,1060968
1060981,1061003
1061042,1061061
1061088,1061100
1061128,1061144
1061163,1061185
1061205,1061222
1044470,1061251
1061331,1061354
1061377,1061396
1061417,1061438
1061455,1061472
1061493,1061515
1061536,1061558
1061591,1061618
1061639,1061656
1061673,1061694
1061710,1061734
1061752,1061775
1061799,1061813
1061832,1061850
1061878,1061897
1061911,1061930
1061953,1061976
1061995,1062014
1062033,1062051
1062079,1062098
1062112,1062131
1062177,1062196
1062219,1062235
1062257,1062274
1062290,1062316
1062359,1062371
1062392,1062411
1062430,1062453
1062476,1062495
1062513,1062532
1062550,1062578
1062597,1062610
1062634,1062652
1062675,1062699
1062718,1062739
1062756,1062773
1062794,1062815
1062836,1062858
1062870,1062891
1062917,1062938
1062955,1062972
1062993,1063016
1063037,1063059
1063071,1063092
1063118,1063139
1063156,1063173
1063194,1063211
1063230,1063253
1063276,1063295
1063314,1063333
1063351,1063379
1063398,1063419
1063435,1063457
1063474,1063490
1063517,1063538
1063555,1063572
1063593,1063615
1063636,1063658
1063670,1063691
1063712,1063731
1063754,1063777
1063796,1063810
1051917,1063852
1063875,1063899
1063913,1063932
1063950,1063978
1063997,1064010
1064034,1064052
1064075,1064099
1064113,1064132
1064150,1064178
1064197,1064215
1064236,1064258
1064270,1064291
1064317,1064338
1064355,1064372
1064412,1064431
1064454,1064477
1064496,1064514
1064551,1064579
1064630,1064653
1064676,1064695
1064719,1064735
1064774,1064790
1064816,1064837
1064871,1064892
1064918,1064939
1064956,1064973
1064994,1065011
1065030,1065053
1065076,1065095
1065114,1065133
1065151,1065179
1065198,1065216
1065237,1065259
1065271,1065292
1065339,1065356
1065373,1065394
1065413,1065432
1065450,1065478
1065497,1065510
1065534,1065552
1065575,1065599
1065612,1065631
1065677,1065696
1065715,1065736
1065758,1065770
1065791,1065817
1065838,1065855
1065872,1065893
1065919,1065935
1065957,1065974
1065990,1066012
1066031,1066054
1046332,1066106
1066123,1066147
1066168,1066181
1066201,1066229
1066240,1066264
1066303,1066326
1066342,1066361
1066388,1066405
1066446,1066467
1066507,1066524
1066548,1066569
1066582,1066609
1066684,1066700
1066684,1066728
1066744,1066763
1066785,1066802
1066825,1066841
1066860,1066887
1066904,1066927
1066943,1066962
1066989,1067004
1067027,1067043
1067062,1067089
1067101,1067129
1067140,1067164
1067186,1067206
1067223,1067247
1067223,1067275
1067299,1067313
1067332,1067350
1067397,1067418
1067439,1067456
1067473,1067494
1067516,1067537
1067559,1067571
1067592,1067619
1067635,1067657
1067674,1067690
1067711,1067730
1067753,1067776
1067795,1067814
1067833,1067851
1067879,1067898
1067912,1067931
1067954,1067977
1067996,1068013
1068032,1068050
1068078,1068097
1068111,1068130
1068153,1068176
1068195,1068218
1068239,1068256
1068273,1068294
1068315,1068336
1068358,1068370
1068391,1068410
1068434,1068452
1068475,1068499
1068512,1068531
1046036,1068565
1045997,1068596
1068614,1068633
1068651,1068679
1068698,1068717
1068738,1068755
1068819,1068835
1068857,1068874
1068890,1068916
1068971,1068992
