GPPID,TPPID
1050774,1103806
1113802,1113818
1207596,1207605
1261216,1171138
1325223,1325234
1287421,1287432
1070909,1166338
1151818,1151825
1317135,1317142
1065114,1276487
1092778,1092807
1134518,1134525
1185701,1185717
1216621,1216632
1229390,1229405
1264559,1264563
1045796,1045806
1057468,1247947
1154978,1154984
1208193,1208206
1236391,1236406
1276004,1276015
1081087,1081094
1103248,1226462
1111901,1111917
1048866,1182302
1296030,1296048
1302978,1302984
1304880,1304898
1186453,1186469
1312180,1312198
1316940,1316955
1047785,1193531
1088264,1088272
1088388,1212482
1095418,1095425
1184480,1184498
1070868,1108680
1044732,1244423
1055381,1055399
1052455,1189536
1071830,1119387
1114115,1114127
1278515,1278527
1151666,1229008
1045997,1068583
1063398,1063403
1119715,1119727
1084993,1085006
1156267,1156279
1174445,1189349
1188546,1188551
1230185,1230192
1053728,1259953
1194948,1206564
1249954,1249965
1276571,1276585
1325661,1325674
1227165,1227177
1053728,1053737
1079058,1079062
1119893,1119903
1102226,1261466
1084337,1108389
1045173,1045187
1171983,1226072
1288820,1288831
1076145,1091548
1144268,1205093
1222397,1222402
1067164,1166023
1102862,1240276
1147726,1181834
1288170,1288189
1079210,1079223
1048515,1080017
1168237,1168244
1180155,1274375
1197862,1197870
1225437,1225444
1070435,1169920
1096472,1096486
1077189,1263794
1260286,1260293
1057389,1108520
1062014,1062022
1063037,1079769
1074013,1074021
1074857,1198921
1076607,1218819
1152637,1152644
1325795,1325805
1070118,1210136
1087866,1087878
1130363,1130532
1045419,1045426
1280680,1280698
1238584,1238597
1055594,1055600
1077751,1077767
1072479,1072480
1126581,1126599
1115671,1115685
1172454,1190271
1107537,1107544
1071830,1199110
1068130,1068148
1063978,1133095
1070670,1252237
1154529,1154538
1244971,1244985
1070419,1122605
1130203,1198932
1101775,1101781
1086581,1086599
1311806,1318262
1311823,1318270
1227773,1227787
1133620,1133631
1094063,1094071
1105523,1105534
1232761,1232774
1050150,1050166
1058983,1058996
1089282,1089295
1254678,1254684
1236565,1318703
1046996,1152126
1067559,1067563
1083138,1083140
1164890,1164944
1288947,1109103
1053785,1229181
1277650,1277666
1311966,1311978
1077798,1235645
1077910,1077923
1085598,1323184
1094731,1094749
1094875,1094881
1055824,1136223
1130363,1130371
1224625,1324398
1055502,1055518
1068857,1068861
1184841,1184856
1094367,1094379
1078179,1276155
1273903,1273919
1238964,1242841
1312893,1320793
1248151,1248167
