GPUID,GPPID
835287,1044135
973387,1044174
809737,1044208
994521,1044249
994521,1044265
955577,1044306
955577,1044323
1044352,1044381
1044352,1044404
579403,1044436
749861,1044470
749861,1044491
749900,1044539
749900,1044556
693923,1044594
693923,1044616
750021,1044659
750021,1044671
258296,1044713
258296,1044732
647442,1044750
647442,1044778
842554,1044797
670530,1044811
904104,1044830
674707,1044853
782942,1044876
1040328,1044895
1040371,1044914
1040448,1044933
337411,1044951
337411,1044979
665869,1044998
665869,1045016
1017258,1045037
696972,1045059
1040870,1045071
845109,1045092
1040917,1045118
269781,1045139
269781,1045156
315440,1045173
315440,1045194
1041452,1045211
1041452,1045230
1041508,1045253
1041508,1045276
233816,1045295
233816,1045314
1041565,1045333
1041596,1045351
1041614,1045379
1041633,1045398
291532,1045419
291532,1045435
804354,1045457
205761,1045474
654099,1045490
489268,1045517
489138,1045538
502700,1045555
1041793,1045572
1041826,1045593
1041890,1045615
521881,1045636
662417,1045658
662417,1045670
649655,1045691
649655,1045712
485098,1045731
671649,1045754
1042638,1045777
858114,1045796
205987,1045810
667304,1045834
1042767,1045852
1042820,1045875
1042854,1045899
1042877,1045913
846654,1045932
1042906,1045950
1042947,1045978
204274,1045997
204274,1046015
726216,1046036
726216,1046058
1043105,1046070
1043151,1046091
959349,1046117
686208,1046138
686208,1046155
1031871,1046172
1031871,1046193
1041097,1046210
1041130,1046234
201812,1046252
201812,1046275
359506,1046299
359506,1046313
208405,1046332
208405,1046350
584611,1046378
960936,1046397
229206,1046418
229206,1046439
229129,1046456
229129,1046473
229129,1046494
229129,1046516
226483,1046537
226483,1046559
226483,1046571
652235,1046592
652235,1046619
203908,1046635
203908,1046657
598472,1046674
598527,1046690
1042018,1046711
516035,1046730
700136,1046753
495907,1046776
495438,1046795
1042094,1046814
685115,1046833
685115,1046851
226695,1046879
226695,1046898
255850,1046912
255850,1046931
255907,1046954
255907,1046977
238127,1046996
238127,1047012
238170,1047031
238170,1047054
736384,1047077
736384,1047096
596603,1047110
226483,1047168
596657,1047181
