GPUID,TPUID
199977,100005
200745,100014
200745,100022
200745,100033
866331,100046
200750,100051
200750,100080
200750,100098
200750,100108
200766,100120
201588,100131
201590,100149
201588,100154
201590,100165
201590,100177
201588,100183
201588,100196
201590,100203
201588,100219
201588,100226
201590,100235
201590,100242
201590,100257
201590,100261
201590,100274
201588,100288
201590,100290
201590,100300
201588,100316
201588,100328
201590,100337
201588,100344
201590,100359
201590,100363
201588,100371
201588,100385
201588,100392
201588,100407
201588,100411
201590,100424
201590,100430
201588,100448
201590,100453
201588,100469
201590,100476
201590,100495
201588,100509
201588,100513
201588,100521
201588,100532
201590,100545
201588,100550
201590,100566
201590,100578
201590,100584
201590,100597
201590,100606
201588,100610
201588,100623
201590,100634
201588,100647
201590,100652
201590,100668
201588,100675
201590,100681
201590,100699
201590,100702
201590,100718
201588,100739
201590,100741
201590,100756
201590,100760
201588,100773
201590,100787
201590,100794
201588,100804
201590,100815
201588,100827
201590,100836
201590,100843
201588,100858
201590,100862
201590,100870
201590,100889
201588,100891
201590,100901
201590,100917
201590,100929
201588,100938
201590,100940
201590,100955
201588,100964
201588,100972
201588,100986
201590,100993
201588,101009
201588,101013
201588,101021
201590,101032
201588,101045
201590,101050
201588,101066
201588,101078
201590,101084
201588,101097
201588,101107
201590,101111
201588,101124
201588,101130
201590,101153
201590,101169
201590,101176
201638,101182
201638,101195
201640,101202
201640,101218
201638,101225
201638,101239
201640,101241
201638,101256
201638,101260
201638,101273
201640,101287
201638,101294
201640,101304
201638,101315
201638,101327
201638,101336
201640,101343
201640,101358
201638,101362
201638,101370
201640,101389
201638,101391
201638,101406
201638,101410
201638,101423
201640,101434
201638,101447
201640,101452
201640,101468
201638,101475
201638,101481
201640,101499
201640,101508
201640,101512
201638,101520
201638,101531
201640,101549
201638,101554
201638,101565
201638,101577
201640,101583
201638,101596
201640,101605
201640,101614
201640,101622
201640,101633
201638,101646
201638,101651
201638,101667
201638,101679
201640,101680
201638,101698
201640,101701
201640,101717
201640,101729
201640,101738
201640,101740
201638,101755
201640,101764
201640,101772
201638,101793
201640,101803
201638,101819
201638,101826
201640,101835
201640,101842
201638,101857
201638,101861
201640,101874
201638,101888
201638,101890
201638,101900
201640,101916
201640,101928
201638,101937
201640,101944
201640,101959
201638,101963
201640,101971
201638,101985
201640,101992
201638,102002
201638,102018
201638,102025
201638,102039
201640,102041
201638,102056
201638,102060
201638,102073
201638,102087
201638,102094
201640,102104
201638,102115
201640,102127
201638,102136
201638,102143
201640,102158
201638,102170
201638,102189
201638,102191
201638,102209
201640,102213
201638,102221
201640,102232
201638,102245
201640,102250
201672,102266
201686,102278
201672,102284
201672,102297
201686,102307
201686,102311
201588,102324
201588,102330
201588,102348
201588,102353
201588,102369
201588,102376
201588,102382
201588,102395
201588,102400
201588,102416
201588,102428
201588,102437
201588,102444
201588,102459
201588,102463
201588,102471
201588,102485
201638,102492
201638,102503
201638,102519
201638,102526
201638,102535
201638,102542
201638,102557
201638,102561
201638,102574
201638,102588
201638,102590
201638,102601
201638,102617
201638,102629
201638,102638
201638,102640
201638,102655
201638,102664
201672,102672
201672,102686
201672,102693
201574,102705
201574,102714
201574,102722
201629,102733
201629,102746
201535,102798
201535,102808
201535,102812
201542,102820
201557,102831
201557,102849
201557,102854
201557,102865
201557,102877
201557,102883
201557,102896
201557,102906
201557,102910
201557,102923
201557,102934
201557,102947
201557,102952
201557,102968
201557,102975
201557,102981
201557,102999
201557,103007
201561,103011
201561,103024
201561,103030
201561,103048
201561,103053
201561,103069
201561,103076
203321,103082
203332,103095
203313,103105
862778,103114
203724,103122
203724,103133
203724,103146
203724,103151
203724,103167
203724,103179
203724,103198
203724,103200
203724,103216
203724,103228
203724,103237
203748,103244
203724,103259
203724,103263
203724,103271
203724,103285
203748,103292
203724,103302
203724,103318
203724,103325
203724,103339
203724,103341
203724,103356
203724,103360
203724,103373
203724,103387
203724,103394
203724,103409
203724,103413
203724,103421
203724,103432
203748,103445
203724,103450
203724,103466
203724,103478
203776,103484
203795,103497
203795,103506
203776,103510
203776,103523
203795,103534
203776,103547
203795,103552
203782,103568
203795,103575
203776,103581
203776,103599
203776,103608
203776,103612
203776,103620
203795,103631
203776,103649
203776,103654
203776,103665
203776,103677
203776,103683
203776,103696
203776,103704
203776,103715
203776,103727
203795,103736
203776,103743
203776,103758
203795,103762
203776,103789
203730,103791
203730,103801
203730,103817
203730,103829
203782,103838
203782,103840
203782,103855
203782,103864
203707,103872
203724,103886
203724,103893
203724,103903
203724,103919
203724,103926
203724,103935
203724,103942
203724,103957
203724,103961
203724,103974
203776,103988
203776,103990
203776,104001
203776,104017
203776,104029
203776,104038
203776,104040
203711,104055
203769,104064
203753,104072
203753,104086
204521,104093
205918,104103
205939,104119
205902,104126
205902,104135
205902,104142
205925,104157
205925,104161
205925,104174
205941,104188
206654,104190
207472,104208
207515,104212
727267,104220
727267,104231
727267,104249
727267,104254
727267,104265
727267,104277
727267,104283
727267,104296
727267,104306
727267,104310
727267,104323
727267,104334
727267,104347
727267,104352
727267,104368
727267,104375
727267,104381
727267,104399
727267,104404
727267,104415
727267,104427
727267,104436
727267,104443
727267,104458
727267,104462
727267,104470
727267,104489
727267,104491
727267,104502
727267,104518
727267,104525
727267,104539
727267,104541
727267,104556
727267,104560
727267,104573
727267,104587
727267,104594
727267,104600
727267,104616
727267,104628
727267,104644
727267,104659
727267,104663
727267,104671
727267,104685
727267,104709
727267,104713
727267,104721
727267,104732
727267,104745
727267,104750
727267,104766
727267,104778
727267,104784
727267,104797
727267,104807
727267,104811
727267,104824
727267,104830
727267,104848
727267,104853
727267,104869
727267,104876
727267,104882
727267,104895
727267,104905
727267,104914
727267,104922
727267,104933
727267,104946
727267,104951
727267,104967
727267,104979
727267,104980
727267,104998
727267,105000
727267,105016
727267,105028
727267,105037
727267,105044
727267,105059
727267,105063
727267,105071
727267,105085
727267,105092
727267,105102
727267,105118
727267,105125
727267,105139
727267,105141
727267,105156
727267,105160
727267,105173
727267,105187
207536,105194
207527,105207
727267,105211
207543,105224
207543,105230
207543,105248
207543,105253
207543,105269
207543,105276
207543,105282
207543,105295
207543,105305
207543,105314
207543,105322
207543,105333
207543,105346
207543,105351
207543,105367
207543,105379
207543,105380
207543,105398
207543,105403
207543,105419
207543,105426
207543,105435
207543,105442
207543,105457
656272,105461
656238,105474
656238,105488
207775,105490
207768,105517
207768,105529
207768,105538
207768,105540
207768,105555
207768,105564
207768,105572
207768,105586
208049,105593
208049,105604
208240,105615
208405,105627
208405,105636
208405,105643
208405,105658
208414,105670
208414,105689
208405,105691
208405,105708
208405,105712
208414,105720
208405,105731
208405,105749
208405,105754
208405,105765
208405,105777
208405,105783
208405,105796
208405,105806
208405,105810
208405,105823
208405,105847
208405,105852
208405,105868
208405,105875
208405,105881
208405,105899
208405,105909
208405,105913
208414,105921
208405,105932
208405,105945
208446,105950
208446,105966
208446,105978
208446,105984
208446,105997
208446,106004
208446,106015
208446,106027
208446,106036
208446,106043
208446,106058
208446,106062
208446,106070
208446,106089
208446,106091
208446,106101
208446,106117
208446,106129
208446,106138
208451,106140
208405,106155
208405,106164
208405,106172
208405,106186
208405,106193
208405,106206
208405,106210
208405,106223
208405,106234
208405,106247
208405,106252
208405,106268
208405,106275
208405,106281
208405,106299
208446,106309
208446,106313
208446,106321
208446,106332
208446,106345
208446,106350
208446,106366
208446,106378
208446,106384
208446,106397
208451,106402
208422,106418
208422,106425
208422,106439
208422,106441
208422,106456
208422,106460
208422,106473
208422,106494
208422,106500
208422,106516
208422,106528
208422,106537
208422,106544
208422,106559
208422,106563
208422,106571
208422,106585
208422,106592
208422,106603
208422,106619
208480,106626
208479,106642
856465,106657
856355,106661
200933,106674
208728,106688
200979,106690
200951,106707
200967,106711
208175,106724
200998,106730
200946,106748
200980,106753
200979,106769
200951,106776
199833,106782
199833,106795
199833,106805
199833,106814
781806,106822
781806,106833
200663,106851
201812,106867
201812,106879
201812,106880
201812,106898
201812,106908
201812,106912
201812,106920
201808,106931
200489,106949
200470,106954
202195,106965
202176,106977
202182,106983
202202,106996
202764,107008
202740,107012
202740,107020
202740,107031
202764,107049
202764,107054
202764,107065
202755,107077
202738,107083
200491,107106
851556,107110
843275,107134
862310,107152
862310,107168
203043,107175
203043,107181
203058,107199
939557,107229
658549,107255
746025,107264
746025,107272
204476,107293
204476,107303
204495,107319
204495,107326
204495,107335
204495,107342
204495,107357
204495,107361
988968,107374
204495,107388
204495,107390
204495,107405
988968,107414
204482,107422
204513,107433
205215,107446
205215,107451
205215,107467
205204,107479
205355,107480
945079,107498
206801,107507
206801,107511
206801,107524
206817,107530
199880,107548
199879,107553
208498,107569
208818,107576
208825,107582
208802,107595
208802,107609
750153,107613
208943,107621
209282,107645
209295,107650
209276,107666
746307,107678
746307,107684
746307,107697
209474,107700
746307,107716
746307,107728
746307,107737
746307,107744
746307,107759
209461,107763
209461,107771
746307,107785
746307,107792
746307,107802
746307,107818
746307,107825
746307,107839
746307,107841
746307,107856
746307,107860
746307,107873
746307,107887
746307,107894
209442,107904
209442,107915
209488,107936
209501,107943
209517,107958
209517,107962
209643,107970
209712,107989
209689,107991
209708,108003
209689,108019
209978,108026
209978,108035
209978,108042
209978,108057
209978,108061
209984,108074
209984,108088
209984,108090
209984,108100
209984,108116
209984,108128
209984,108137
209997,108144
209997,108159
209997,108163
209997,108171
209997,108185
209997,108192
209997,108205
209997,108214
209997,108222
209997,108233
210005,108246
210005,108251
210005,108267
210005,108279
210005,108280
210014,108298
210014,108308
210014,108312
210014,108320
210014,108331
210014,108349
210014,108354
210014,108365
210014,108377
210014,108383
210014,108396
210014,108401
210014,108417
200126,108429
200135,108438
200142,108440
200142,108455
200142,108464
200142,108472
200142,108504
200142,108515
200142,108527
200142,108536
200142,108543
200142,108558
200119,108562
200119,108570
200119,108591
200119,108602
200119,108618
200119,108641
200119,108656
200119,108660
200119,108673
200119,108687
200119,108694
200190,108706
200190,108710
200208,108723
200208,108734
200212,108747
200212,108752
200220,108768
200220,108775
200157,108781
200157,108799
200161,108809
200161,108813
200174,108821
200174,108832
200188,108845
200188,108850
200283,108866
200296,108878
200277,108884
200381,108897
200375,108907
200347,108911
200381,108948
200375,108953
200347,108969
200587,109010
200600,109023
200594,109034
200616,109047
202614,109052
202622,109068
202622,109075
202622,109081
202622,109099
202614,109109
202622,109113
202622,109121
202622,109132
202622,109145
202622,109150
202622,109166
202622,109178
202622,109184
202679,109197
202667,109204
202679,109215
202667,109227
202679,109243
202679,109258
202679,109262
202679,109270
202679,109289
202679,109291
202679,109301
202679,109317
202698,109329
202565,109338
202565,109340
202614,109355
202614,109364
202614,109372
202667,109386
202667,109393
202667,109408
202554,109412
202531,109420
202651,109431
202680,109449
202680,109454
202680,109465
202520,109477
202520,109483
202531,109496
202531,109505
202531,109514
202577,109522
202577,109533
202596,109546
202596,109551
202596,109567
202596,109579
202605,109580
202605,109598
202633,109607
202633,109611
202633,109624
202508,109630
202508,109648
202646,109653
202646,109669
203851,109676
203851,109682
203814,109695
203833,109703
203851,109719
203814,109726
203814,109735
203833,109742
203833,109757
203833,109761
203851,109774
203851,109788
203851,109790
203851,109800
203851,109816
203851,109828
203851,109837
203814,109844
203814,109859
203814,109863
203814,109871
203814,109885
205800,109902
205816,109918
206053,109925
206069,109939
206237,109956
206237,109960
206237,109973
206259,109987
206259,109994
206259,110001
206935,110017
206935,110029
206974,110038
206961,110040
206957,110055
206957,110064
206990,110086
206990,110093
770440,110103
206926,110119
207128,110126
207185,110135
207100,110142
207233,110161
207116,110174
207171,110188
207205,110190
207267,110208
207116,110212
207171,110231
207171,110249
207171,110254
207171,110265
207171,110277
207171,110283
207171,110296
207171,110306
207171,110310
207171,110323
207171,110334
207171,110347
207205,110352
207205,110368
207205,110375
207267,110381
207246,110399
207100,110404
207214,110415
207074,110427
207074,110436
207137,110443
207137,110458
207137,110462
207214,110470
207214,110489
207214,110491
207214,110502
207214,110518
207214,110525
207214,110539
207214,110541
207214,110556
207214,110560
207214,110573
207214,110587
207214,110594
207214,110600
207214,110616
207214,110628
207074,110637
207074,110644
207074,110659
207074,110663
207074,110671
207074,110685
207074,110692
207074,110709
207074,110713
207074,110721
207074,110732
207074,110745
207074,110750
207074,110766
207074,110778
207074,110784
207074,110797
207074,110807
207144,110811
207377,110824
207377,110830
207377,110848
207377,110853
207377,110869
207365,110876
207396,110882
207396,110895
207396,110905
207396,110914
207417,110922
207417,110933
207401,110946
209823,110951
209834,110967
209834,110979
209834,110980
209834,110998
209823,111002
209823,111018
209823,111025
209823,111039
209834,111041
209852,111056
209868,111060
209834,111073
209834,111087
209868,111094
209823,111104
209823,111115
209834,111127
209852,111136
209796,111143
209810,111158
209806,111162
209806,111170
209806,111189
952409,111191
201127,111209
201127,111213
201127,111221
201127,111232
201127,111245
201143,111250
201143,111266
201143,111278
201143,111284
201143,111297
201143,111307
201143,111311
201143,111324
201143,111330
201143,111348
201143,111353
201143,111369
201136,111376
201158,111382
201158,111395
201492,111400
201503,111437
201503,111444
201519,111459
202992,111463
746492,111471
746492,111485
746492,111492
746492,111503
746492,111519
746492,111535
746492,111542
746492,111557
746492,111561
746492,111574
746492,111588
746492,111601
746492,111617
746492,111629
746492,111638
746492,111640
746492,111655
746492,111664
746492,111672
746492,111686
746492,111693
746492,111705
746492,111714
746492,111722
746492,111733
746492,111746
746492,111751
203027,111767
746492,111779
746492,111780
746492,111798
746492,111808
746492,111812
746693,111820
746693,111831
746693,111849
746693,111854
746693,111865
746693,111877
746693,111883
746693,111896
746693,111906
746693,111910
746693,111923
746693,111934
746693,111947
746693,111952
746693,111968
746693,111975
746693,111981
746693,111999
746693,112009
746693,112013
746693,112021
746444,112032
746444,112045
746444,112050
746444,112066
746444,112078
746444,112084
746444,112097
746444,112111
746444,112124
746444,112130
746444,112148
746444,112153
203004,112169
746444,112176
746444,112182
746444,112195
746444,112202
746444,112218
746444,112225
203004,112239
746444,112241
746444,112256
203004,112260
746444,112273
746444,112287
746444,112294
203027,112304
203027,112315
746693,112327
203004,112336
205270,112343
205270,112358
205289,112362
205289,112370
205262,112389
205262,112391
206133,112406
206133,112410
206151,112423
206151,112434
206151,112447
206151,112452
206151,112468
206151,112475
206151,112481
206151,112499
206151,112508
206122,112512
206122,112520
206122,112531
206122,112549
206122,112554
206122,112565
206122,112577
