GPID,GPUID
210051,199724
210067,199730
210079,199748
210108,199776
210165,199833
213180,199851
210196,199867
210203,199879
210219,199880
210226,199898
210235,199908
210242,199912
210257,199920
210261,199931
210274,199949
210288,199954
210300,199977
210316,199983
210328,199996
210337,200001
210344,200017
210359,200029
210363,200038
210371,200040
210385,200055
210392,200064
210407,200072
210411,200086
210430,200103
210448,200119
210453,200126
210469,200135
210476,200142
210482,200157
210495,200161
210509,200174
210513,200188
210521,200190
210532,200208
210545,200212
210550,200220
210566,200231
210578,200249
210584,200254
210597,200265
210606,200277
210610,200283
210623,200296
210634,200306
210647,200310
210652,200323
210668,200334
210675,200347
210681,200352
210699,200368
210702,200375
210718,200381
210725,200399
210739,200404
210741,200415
210756,200427
210773,200443
210794,200462
210804,200470
210815,200489
210827,200491
210889,200556
210891,200560
210901,200573
210917,200587
210929,200594
210938,200600
210940,200616
210955,200628
210964,200637
210986,200644
847911,200659
210993,200663
211013,200685
211021,200692
211032,200709
211045,200713
211050,200721
211066,200732
211078,200745
211084,200750
211097,200766
211107,200778
211111,200784
211124,200797
211130,200807
211148,200811
211153,200824
211169,200830
211176,200848
211182,200853
211195,200869
211202,200876
211225,200895
211239,200905
211256,200922
211260,200933
211273,200946
211287,200951
211294,200967
211304,200979
211315,200980
211327,200998
775106,201002
211343,201018
211358,201025
211362,201039
211370,201041
211389,201056
1048768,1048775
211391,201060
211406,201073
211410,201087
211434,201104
211452,201127
211468,201136
211475,201143
211481,201158
211520,201191
213484,201232
211577,201245
211565,201250
211596,201266
211605,201278
862323,201284
861759,201297
211633,201307
211646,201311
211651,201324
211667,201330
211679,201348
211680,201353
211701,201376
211717,201382
211729,201395
211738,201400
211740,201416
211755,201428
211764,201437
211786,201459
211793,201463
211803,201471
211819,201485
211826,201492
211835,201503
211842,201519
211857,201526
211971,201535
211971,201542
211874,201557
211937,201561
211890,201574
211900,201588
211916,201590
210972,201601
211944,201629
211959,201638
211963,201640
1124154,201664
211985,201672
211992,201686
212039,201714
213575,201722
212056,201746
212087,201779
212104,201798
212115,201808
212127,201812
212136,201820
212143,201831
212158,201849
212162,201854
212170,201865
212189,201877
212191,201883
212209,201896
212213,201906
212232,201923
212245,201934
212284,201975
212798,201981
212307,201999
213095,202009
1023064,202013
212348,202032
213510,202045
212376,202066
212382,202078
212395,202084
212416,202107
656507,202130
212459,202148
212485,202176
212492,202182
212503,202195
212519,202202
212526,202218
212535,202225
212542,202239
212557,202241
212561,202256
212574,202260
212588,202273
212590,202287
665157,202294
212617,202304
212629,202315
212655,202343
212664,202358
212672,202362
213179,202389
212705,202391
212714,202406
212722,202410
213179,202423
212746,202434
212751,202447
212779,202468
212780,202475
861524,202481
212812,202508
212831,202520
212849,202531
210120,202549
212865,202554
212877,202565
212883,202577
212906,202596
212910,202605
212923,202614
212934,202622
212947,202633
212952,202646
212968,202651
212975,202667
212981,202679
212999,202680
213007,202698
213011,202701
213024,202717
213048,202738
213053,202740
