GPID,TPID
210051,154302
210067,154318
210079,154325
216544,154341
216544,154356
216544,154360
216544,154373
216544,154387
216544,154394
216544,154409
210108,154413
216544,154432
216544,154445
965438,154450
216544,154466
210108,154478
965438,154484
965438,154497
216544,154506
216544,154510
965438,154547
210165,154552
210165,154568
210165,154575
210165,154581
210196,154608
210203,154612
210219,154620
210226,154631
210235,154649
210242,154654
210257,154665
210261,154677
210261,154683
210261,154696
210261,154704
210261,154715
210261,154727
210261,154736
210274,154743
210288,154758
210300,154770
210316,154789
210316,154791
210328,154801
210328,154817
210337,154829
210344,154838
210359,154840
210363,154855
210371,154864
210371,154872
210385,154886
210385,154893
210392,154903
210392,154919
210407,154926
210407,154935
210411,154942
210411,154957
210430,154974
210448,154988
210448,154990
210448,155012
210448,155020
210448,155031
210448,155065
210448,155077
210448,155083
764468,1024082
210448,155096
210448,155106
210448,155110
210453,155123
210469,155134
210476,155147
210476,155152
210476,155168
210476,155175
210476,155201
210476,155217
210476,155229
210476,155238
210476,155240
210476,155255
210482,155264
210482,155272
210495,155286
210495,155293
210509,155303
210509,155319
210513,155326
210513,155335
210521,155342
210521,155357
210532,155361
210532,155374
210545,155388
210545,155390
210550,155405
210550,155414
210606,155467
210610,155479
210623,155480
210634,155498
210647,155507
210652,155511
210668,155524
210675,155530
210675,155548
210702,155576
210702,155582
210718,155595
210718,155609
210725,155613
210739,155621
210741,155632
210756,155645
781796,155650
781796,155666
210773,155678
210773,155684
210773,155697
210773,155700
210794,155716
210804,155728
210815,155737
210827,155744
749857,155759
749857,155763
749857,155771
749857,155785
749857,155792
749890,155802
749890,155818
749890,155825
749890,155839
749890,155841
693910,155856
693910,155860
693910,155873
693910,155887
693910,155894
1295863,1295885
1295973,1295994
1296114,1296133
862254,1296198
1295669,1296244
1296292,1296318
1296373,1296394
1296484,1296506
1296599,1296612
1296704,1296727
351964,1296791
795115,1296855
794625,1296926
912226,1296988
1297074,1297090
231569,1297159
1297192,1297214
591651,1297280
483832,1297349
645049,1297383
354170,1297438
912226,1297472
1297515,1297536
1297660,1297687
351901,1297747
647314,1297781
647276,1297821
862368,1297878
1297948,1297969
1295669,1298031
1167561,1298077
1298181,1298201
431022,1298286
520397,1298342
1298405,1298422
767330,1298480
784894,1298524
585180,1298802
647276,1298841
821292,1298887
527103,1298927
966094,1298962
1299071,1299092
214462,1299156
966136,1299194
1299269,1299282
644547,1299346
789251,1299380
216252,1299426
231569,1299461
1299823,1299847
482106,1299909
644683,1299950
671263,1300012
354170,1300077
1300123,1300147
671216,1300201
364607,1300264
952216,1300303
320088,1300357
995761,1300414
293569,1300451
364607,1300498
255163,1300548
1300632,1300650
970610,1300716
1300792,1300818
793410,1300873
578012,1300887
731176,1300894
528301,1300904
528243,1300915
996432,1300936
