SUBSID,VTMID
763570,792027
312662,312689
490839,931724
763591,1118996
1256843,1256862
744268,763660
748212,864984
399773,476411
485337,485359
323231,782506
738472,863270
654317,783865
223813,221038
1007922,1009799
707949,934237
1019176,1019195
675493,675570
265032,946939
665824,302762
791386,791408
857324,857348
531421,950350
776111,1179444
835370,1019857
236088,236100
567881,570797
227714,330373
731512,895237
223354,913194
689632,860959
1299731,1299810
675897,676127
811908,812034
223558,886795
225891,766800
757339,819250
576829,576840
657707,657724
707949,976345
272725,272741
225901,1237966
645451,822604
531736,531762
946757,970005
748323,967505
692069,840573
689632,689650
797623,678616
234194,328550
364939,364956
861613,861632
707949,885636
558118,895114
273028,273044
783503,952082
649975,996421
228990,484370
805820,805849
519482,1054808
1036721,1159080
915886,915903
1317853,1317933
519482,738536
675493,849615
299302,299325
809632,832285
269128,269144
748427,614343
323231,781658
748212,962501
1138128,1138144
225448,222650
752685,752709
520688,863270
1234510,1236452
345708,345720
858990,220380
223982,991542
488244,488285
858076,603624
560907,669069
707949,1148933
520688,558141
521712,1308249
811537,811563
715174,961445
224729,1144397
325319,325335
567881,571025
677010,981012
225891,743337
225901,860959
980963,679362
490759,1034493
1281650,1281678
225469,1054808
748212,1222805
490759,500913
706548,517030
748427,614512
748064,326729
765363,765469
265032,934612
774855,937868
644216,934510
809632,857664
225469,222650
811537,265182
292976,292995
1018587,1018600
1174200,1174244
522957,652870
224729,929020
265032,921800
742529,993585
880385,903293
223723,220945
678671,758968
867198,867216
880476,880495
521712,975670
236969,516924
521847,521868
225901,818112
807681,958215
502390,987285
811537,228325
228801,527671
748352,957807
224362,221637
358626,974231
227923,279443
644466,992819
229748,229769
522957,522974
668281,669069
223527,795638
225469,220749
560884,668321
665824,238266
524684,524700
809335,854959
668268,669133
966002,1036745
776111,958075
717786,717803
225288,222507
748323,966307
707814,707833
518056,872504
771155,941750
515657,515674
341176,702359
1017630,1017653
685039,685056
687290,687316
854406,854423
359466,359484
490839,935083
506023,1176738
614481,614512
225469,702578
225407,1000776
1043069,1043082
1106181,1106240
1020911,1020948
258161,258188
534592,534619
643220,643249
756057,658651
797597,1283522
341176,893139
490716,946431
531649,916020
981008,220689
763639,1134671
264962,264989
934432,1024069
520688,1118898
1176717,1176738
