TPPID1,TPPID2
1044254,1044277
1044310,1044334
1044399,1044415
1044489,1044502
1044489,1211088
1044541,1044560
1044541,1211090
1044600,1044628
1044600,1211100
1044663,1044685
1044663,1211128
1044721,1044745
1044766,1044784
1044967,1044980
1045000,1045028
1045141,1045160
1045187,1045207
1045224,1045248
1045224,1247162
1045269,1045282
1045305,1045322
1045426,1045442
1045662,1045689
1045708,1045720
1045823,1235152
1046004,1046027
1046043,1046062
1046140,1046164
1046186,1046206
1046268,1046281
1046309,1046321
1046345,1046366
1046425,1046441
1046460,1046487
1046500,1046528
1046544,1046563
1046603,1046626
1046642,1046661
1046846,1046867
1046880,1046908
1046920,1046949
1046965,1046983
1047008,1047020
1047049,1047065
1047083,1047106
1047134,1047147
1047152,1047175
1047217,1047238
1047405,1047422
1047446,1047467
1047446,1047480
1047524,1047548
1047621,1047645
1047666,1047678
1047873,1047894
1047958,1047970
1047958,1047991
1048035,1048057
1048090,1048116
1048267,1048280
1048308,1048320
1048349,1048365
1048383,1048401
1048486,1076372
1048504,1048527
1048589,1048602
1048641,1048660
1048706,1048723
1048813,1048832
1048878,1048897
1049006,1049023
1049109,1049121
1050258,1050270
1050258,1274310
1050340,1050364
1050408,1050420
1050551,1050579
1050859,1050871
1050859,1193107
1050941,1050960
1050941,1050987
1051051,1051079
1051131,1051154
1051392,1051411
1051741,1051760
1051804,1051827
1051858,1051862
1051929,1051940
1051986,1052003
1052298,1052312
1053012,1053031
1053229,1053240
1053319,1053335
1053319,1053357
1053319,1053374
1053414,1053433
1053569,1053582
1053678,1053697
1053737,1053759
1053792,1053818
1053991,1054018
1054087,1054104
1054170,1054191
1054266,1054284
1054353,1054376
1054444,1054463
1054503,1054526
1054561,1054588
1054629,1054640
1054883,1054906
1055174,1055190
1055212,1055231
1055254,1055277
1055296,1055310
1055334,1055352
1055375,1055399
1055415,1055436
1055458,1055470
1055458,1079931
1055491,1055518
1055491,1092458
1055539,1055556
1055560,1055573
