TPUID,TPPID
1135346,1135367
856301,1102702
533675,1087214
1008372,1282824
1197794,1197815
1250707,1250711
115420,1094627
652448,1095983
349505,1236021
1242255,1242286
346688,1273421
1292260,1292273
1175609,1175613
1181555,1181572
1274671,1274692
451835,1064828
282010,1083281
1324230,1324253
1287082,1287105
1315701,1315729
994741,1069502
1048799,1048813
1207009,1207045
1238290,1238300
1253705,1253722
1315287,1315304
1133114,1133122
1231439,1231456
1178482,1178509
1310138,1310140
655030,1239854
945476,1056615
861152,1247094
741356,1102668
1146779,1146798
651527,1086200
1168053,1168076
1186804,1186815
142105,1086432
973421,1215122
1194349,1194383
123839,1206555
1144252,1144275
555906,1188837
644523,1078122
770464,1197891
1301696,1301715
1151255,1151272
1050465,1050483
336692,1059990
1287654,1287677
1286057,1286074
1053123,1053147
415143,1090520
117639,1081923
148258,1103474
1160997,1161038
1317306,1317310
1175943,1175962
1278377,1278396
996237,1212154
1306191,1306232
1142333,1142346
1133478,1133510
532586,1325571
1306191,1306213
693947,1057362
1140744,1140763
558604,1098693
786741,1229110
1260927,1260943
1052995,1053012
740771,1073809
1139075,1139113
1111235,1111257
1280452,1280475
1198351,1198398
1204557,1204590
110876,1229319
1186203,1186242
1264846,1264880
1146330,1146348
1260716,1260737
1268502,1268525
741736,1229936
1172653,1172676
1292679,1292698
1291324,1291348
1324909,1324921
1220341,1220360
1306629,1306638
907273,1087832
822295,1068740
790292,1217223
1283567,1283580
1189163,1189205
755879,1092231
1150032,1150066
689217,1217366
1145003,1145019
1282310,1282352
1219404,1219427
1112850,1229507
790886,1091700
667499,1099675
1276898,1276920
1105974,1105990
1170884,1170924
1170948,1170982
1278279,1278298
1311529,1311564
108641,1055587
666490,1063868
143542,1085669
1159606,1159623
1296053,1296076
1317249,1317265
1304036,1304058
911625,1102760
880815,1104023
1105167,1105180
1284868,1284875
1189251,1189298
1271202,1271225
771140,1064262
1270858,1270862
504315,1183136
1191258,1191270
337430,1079635
364653,1072106
261945,1076236
1048982,1049023
1106860,1106873
769332,1316668
428512,1064068
659807,1096504
1232939,1232956
1289261,1289288
958726,1225056
1261244,1261271
1158087,1158104
117377,1211365
1297354,1297365
332674,1067345
1135044,1135071
1145159,1145171
124923,1198419
406218,1225348
768608,1095172
1157053,1157076
1304690,1304711
1192186,1192247
1273829,1273838
1205951,1205979
1292577,1292596
1248829,1248840
1140595,1140632
1138331,1138354
1172579,1172580
125375,1206529
1279761,1280153
1324102,1324141
1053548,1053569
650590,1066818
460518,1071848
1301179,1301198
1271738,1271755
545692,1194781
437021,1216771
1252360,1252387
1322766,1322784
137101,1078864
1284156,1284173
1180089,1180129
136684,1107397
1318648,1318653
1053293,1053357
651128,1083027
1106576,1106595
1144252,1144299
662438,1084938
1254904,1254927
409574,1195601
1111337,1111359
1041520,1045269
1281716,1281759
1178328,1178344
129114,1192795
1107004,1107027
362699,1209552
781945,1210877
1117861,1117890
1318412,1318431
691461,1235405
726599,1065228
1006836,1063921
887467,1085941
776481,1092922
1002133,1228899
741244,1091684
1233001,1233029
130485,1209715
1053293,1053335
1198282,1198295
262095,1093454
1304155,1304193
658520,1277716
1291382,1291400
1118281,1118309
1134502,1134525
235378,1258726
258310,1108009
1041260,1046425
727042,1077369
1279761,1280260
1264748,1264769
1040993,1292032
1042503,1047293
648566,1063207
1311852,1311881
1106958,1106962
481103,1071541
1261341,1261356
1135346,1135351
1287011,1287030
1182506,1182523
1223667,1223679
359665,1078048
526901,1229989
273529,1057195
552776,1110291
1138377,1138401
1290157,1290174
1304851,1304898
1177909,1177950
383814,1062080
1014101,1181945
1146416,1146459
1295477,1295496
1202163,1202192
1129125,1129139
1180275,1180299
1180332,1180378
780977,1056731
1297799,1297809
1126575,1126599
1240346,1240367
1256219,1256235
252346,1107814
114051,1094379
1295522,1295546
1053970,1054018
564903,1314684
323064,1096233
1290249,1290265
1302945,1302966
1106763,1106785
715778,1224639
842508,1248228
540372,1276345
1172178,1172197
1264321,1264345
1051033,1051079
413111,1063141
776066,1080283
1105387,1105409
1009455,1089517
1204854,1204877
1248450,1248497
1318726,1318742
1042307,1047020
1250345,1250350
1253353,1253382
117543,1245392
1022774,1073042
867534,1282573
1255370,1255391
768534,1216147
108907,1059373
665220,1086743
1009472,1181909
1194625,1194660
1200828,1200863
1313733,1313751
844080,1249537
232556,1055296
998054,1184293
259475,1223605
1043302,1047422
845289,1271959
1303993,1304004
1291002,1291018
1289741,1289756
237886,1090944
766682,1070474
473348,1084843
1041646,1045403
1113422,1113467
292710,1078886
765718,1242553
1162511,1162530
644523,1078146
1196560,1196600
1150793,1150819
1212261,1212288
1042115,1046822
1175405,1175446
1145090,1145116
1188757,1188774
1204812,1204831
1259396,1259417
1265747,1265768
1189897,1189907
113833,1056490
778917,1082577
652257,1089636
1041406,1045187
1289836,1289870
446845,1217210
387003,1067281
1136494,1136516
145475,1103658
1141817,1141838
1299160,1299187
1119339,1119356
1317017,1317055
749944,1061308
1042307,1047008
643732,1076735
259772,1080766
143664,1084521
996855,1211298
1208585,1208603
1257659,1257671
1012125,1063426
115449,1068622
1316889,1316891
963290,1216498
785937,1192920
564654,1255835
1271772,1271793
542354,1314818
1293043,1293058
790575,1090729
144737,1099566
1131565,1131583
1193793,1193819
1200081,1200121
1313798,1313812
1250384,1250425
378151,1079782
561058,1102741
1158250,1158278
1158693,1158714
1157704,1157727
1175451,1175480
1278214,1278233
1041803,1045586
1211536,1211562
670887,1325833
357944,1095912
1043198,1047357
439082,1216915
747703,1226979
1319438,1319472
1156591,1156618
907764,1169730
1279761,1281595
1204519,1204535
145499,1229264
996387,1060798
412015,1088374
1119484,1119506
658698,1224924
1322594,1322616
561805,1213367
1295412,1295431
737792,1056834
947629,1063806
1127019,1127057
1165014,1165033
1042348,1047083
911558,1185452
1035191,1206346
533196,1213403
1111235,1316702
1301654,1301677
1099986,1100002
1100221,1100245
1145982,1146002
782263,1235199
799238,1236304
1150717,1150738
781823,1069029
402113,1087493
1323871,1323885
642960,1082928
1141665,1141683
395193,1080093
537761,1110338
309354,1109126
1213875,1213881
1296510,1296534
1177604,1177627
1279761,1280032
349291,1067252
767947,1095949
287187,1084363
1201532,1201578
1206712,1206731
996259,1096924
1166197,1166215
1221338,1221364
1244406,1244423
132513,1242498
1149738,1149772
1261387,1261409
1186363,1186407
655961,1223900
1318800,1318828
328183,1095822
856522,1073768
1152922,1152946
1043631,1047771
117723,1081975
917089,1059838
319596,1058851
734778,1103765
1189061,1189088
698726,1059413
1316203,1316226
1326809,1326845
769350,1076113
443075,1072326
768007,1096995
112577,1093939
596954,1169070
1195751,1195779
699747,1276309
1024409,1227079
1293965,1293983
1302269,1302282
233761,1181749
778756,1076774
1326331,1326349
142608,1110010
1244447,1244452
1137989,1138003
1215341,1215356
1299102,1299141
1151860,1151887
785861,1231920
292710,1078872
1100492,1100519
532658,1073246
1102219,1102235
1144313,1144350
1287715,1287762
1198351,1198379
1035213,1206442
1290967,1290979
1221270,1221291
1024409,1227051
1043942,1048019
1135881,1135899
1233713,1233721
1128511,1128553
136678,1086801
766669,1070461
1029535,1223971
696177,1058439
844652,1227545
261945,1076258
1119957,1119974
1243192,1243205
1132686,1132693
553857,1110236
1136043,1136062
1159862,1159889
308546,1058397
1322659,1322671
1016382,1182620
116654,1094540
1119704,1119727
1040131,1048486
1166197,1166236
903650,1229595
643541,1107983
295334,1067058
112764,1282685
562227,1242645
810042,1103796
114550,1254175
1257208,1257220
1123603,1123619
143714,1274732
1205352,1205375
1044644,1211128
1127625,1233853
373799,1090239
789246,1103689
1126271,1126292
1278128,1278163
715922,1080914
1120797,1120830
1202440,1202486
283637,1079062
1288767,1288780
1195686,1195693
1189850,1189878
1126069,1126082
1131680,1131729
1319320,1319349
1233560,1233600
1319128,1319144
1193124,1193130
148113,1103419
1285309,1285321
665797,1236153
1321255,1321272
295381,1067070
693629,1091342
1115663,1115685
1190445,1190466
1310657,1310661
874561,1248167
1042039,1046724
1130453,1130469
1123456,1123460
262095,1093477
1279761,1281632
1255633,1255651
565744,1311059
1220523,1220547
1294699,1294739
1128168,1128181
274703,1109375
1309327,1309343
1276769,1276795
1238532,1238550
1112850,1229511
1100975,1100999
1172774,1172816
1253883,1253896
1244481,1244499
1132812,1132831
136678,1086829
251683,1207520
1207646,1207680
665375,1217776
354395,1060934
1009455,1089538
861825,1196188
1135092,1135118
660522,1215743
905573,1204002
1106065,1209599
1175839,1175856
467171,1081018
1203498,1203511
1219876,1219895
449495,1247767
1178815,1178836
1195428,1195444
745026,1103806
412730,1088054
742490,1087279
1301817,1301855
1036998,1188431
1007848,1236066
476675,1247127
137275,1064465
1150032,1150078
1172611,1172624
114154,1094141
1255009,1255013
385340,1070689
301875,1058138
1243911,1243953
