TPID,TPUID
1323902,1323918
1323994,1324000
1324059,1324063
1323109,1324102
1324160,1324173
1324224,1324230
1324269,1324276
1324403,1324419
1324488,1324490
1324540,1324555
1324586,1324593
1324670,1324689
1324806,1324810
1324899,1324909
1324950,1324966
1325027,1325036
1325089,1325091
1325129,1325138
1325164,1325172
1325206,1325210
1325247,1325252
1325309,1325313
443068,443075
443081,443099
443109,443113
443121,443132
443178,443184
443243,443258
443262,443270
443289,443291
443301,443317
443329,443338
443364,443372
443412,443420
443465,443477
827522,827533
827546,827551
827567,827579
827580,827598
827630,827648
827630,827669
827630,827682
827630,827703
827719,827726
827742,827757
827742,827774
827790,827800
1325345,1325350
1325418,1325425
1325908,1325912
1325949,1325954
1326057,1326061
1326116,1326128
1326159,1326163
1326205,1326214
1326267,1326279
1326320,1326331
1326383,1326396
1326558,1326562
1326639,1326641
1326673,1326687
1326710,1326723
1326799,1326809
1326850,1326866
1326907,1326911
1326948,1326953
1326982,1326995
1327076,1327082
1327133,1327146
1327228,1327237
154770,100005
156447,100014
156423,100022
156434,100033
156452,100046
156468,100051
156499,100080
156508,100098
156512,100108
156531,100120
158120,100131
158756,100149
158131,100154
158760,100165
158773,100177
158149,100183
158154,100196
158787,100203
158165,100219
158177,100226
158794,100235
158804,100242
158815,100257
158827,100261
158836,100274
158196,100288
158843,100290
158858,100300
158203,100316
158219,100328
158862,100337
158226,100344
158870,100359
158891,100363
158242,100371
158257,100385
158274,100392
158261,100407
158235,100411
158889,100424
158901,100430
158288,100448
158917,100453
158290,100469
158929,100476
158938,100495
158337,100509
158359,100513
158363,100521
158385,100532
158940,100545
158392,100550
158955,100566
158964,100578
158972,100584
158986,100597
158993,100606
158407,100610
158424,100623
159002,100634
158430,100647
159018,100652
159025,100668
158448,100675
159039,100681
159056,100699
159041,100702
159060,100718
158482,100739
159073,100741
159087,100756
159094,100760
158495,100773
159104,100787
159115,100794
158509,100804
159127,100815
158521,100827
159136,100836
159143,100843
158545,100858
159158,100862
159162,100870
159170,100889
158566,100891
159189,100901
159191,100917
159209,100929
158584,100938
159213,100940
159221,100955
158597,100964
158606,100972
158610,100986
159232,100993
158623,101009
158634,101013
158647,101021
159245,101032
158652,101045
159250,101050
158675,101066
158681,101078
159266,101084
158699,101097
158702,101107
159278,101111
158718,101124
158725,101130
159284,101153
159297,101169
159307,101176
159492,101182
159503,101195
160285,101202
160292,101218
159519,101225
159526,101239
160302,101241
159535,101256
159542,101260
159557,101273
160318,101287
159561,101294
160325,101304
159574,101315
159588,101327
159590,101336
160339,101343
160341,101358
159601,101362
159617,101370
160356,101389
159655,101391
159672,101406
159664,101410
159629,101423
160360,101434
159640,101447
160373,101452
160387,101468
159686,101475
159693,101481
160394,101499
160409,101508
160413,101512
159733,101520
159746,101531
160421,101549
159751,101554
159767,101565
159780,101577
160432,101583
159798,101596
160445,101605
160450,101614
160466,101622
160478,101633
159808,101646
159812,101651
159831,101667
159849,101679
160484,101680
159865,101698
160497,101701
160510,101717
160506,101729
160523,101738
160534,101740
159906,101755
160547,101764
160552,101772
159923,101793
160568,101803
159934,101819
159947,101826
160575,101835
160581,101842
159952,101857
159975,101861
160599,101874
159981,101888
159999,101890
160007,101900
160608,101916
160612,101928
160011,101937
160620,101944
160631,101959
160024,101963
160649,101971
160048,101985
160654,101992
160053,102002
160069,102018
160076,102025
160082,102039
160665,102041
160095,102056
160105,102060
160122,102073
160133,102087
160146,102094
160677,102104
160167,102115
160683,102127
160179,102136
160180,102143
160696,102158
160216,102170
160200,102189
160228,102191
160237,102209
160704,102213
160259,102221
160715,102232
160263,102245
160727,102250
160743,102266
160801,102278
160770,102284
160791,102297
160817,102307
160829,102311
158183,102324
158300,102330
158316,102348
158328,102353
158344,102369
158371,102376
158411,102382
158453,102395
158469,102400
158476,102416
158513,102428
158532,102437
158550,102444
158578,102459
158668,102463
158739,102471
158741,102485
159638,102492
159705,102503
159714,102519
159722,102526
159779,102535
159820,102542
159854,102557
159877,102561
159883,102574
159896,102588
159910,102590
159968,102601
160030,102617
160114,102629
160151,102638
160198,102640
160244,102655
160271,102664
160758,102672
160762,102686
160789,102693
158098,102705
158108,102714
158112,102722
159471,102733
159485,102746
157978,102798
157984,102808
157997,102812
160736,102820
158005,102831
158014,102849
158022,102854
158033,102865
158046,102877
158051,102883
159311,102896
159324,102906
159330,102910
159348,102923
159353,102934
159369,102947
159376,102952
159382,102968
159395,102975
159400,102981
159416,102999
159428,103007
158067,103011
158079,103024
158080,103030
159437,103048
159444,103053
159459,103069
159463,103076
167261,103082
167274,103095
167257,103105
167288,103114
167815,103122
167827,103133
167843,103146
167858,103151
167862,103167
167870,103179
167891,103198
167901,103200
167917,103216
167929,103228
167938,103237
168276,103244
167964,103259
167972,103263
167986,103271
167993,103285
168282,103292
168000,103302
168028,103318
168016,103325
168037,103339
168059,103341
168063,103356
168092,103360
168102,103373
168125,103387
168139,103394
168141,103409
168156,103413
168160,103421
168173,103432
168295,103445
168187,103450
168211,103466
168224,103478
168351,103484
168662,103497
168670,103506
168367,103510
168379,103523
168689,103534
168398,103547
168691,103552
168615,103568
168708,103575
168419,103581
168426,103599
168435,103608
168442,103612
168457,103620
168712,103631
168461,103649
168474,103654
168488,103665
168490,103677
168517,103683
168529,103696
168540,103704
168555,103715
168564,103727
168720,103736
168572,103743
168586,103758
168731,103762
168604,103789
168230,103791
168248,103801
168253,103817
168269,103829
168627,103838
168636,103840
168643,103855
168658,103864
167794,103872
167836,103886
167889,103893
167940,103903
167955,103919
168044,103926
168071,103935
168085,103942
168118,103957
168194,103961
168207,103974
168333,103988
168346,103990
168380,104001
168403,104017
168501,104029
168538,104038
168593,104040
167804,104055
168322,104064
168305,104072
168314,104086
172979,104093
180498,104103
180530,104119
180479,104126
180467,104135
180480,104142
180507,104157
180524,104161
180511,104174
180548,104188
184661,104190
187546,104208
188539,104212
188525,104220
187551,104231
187567,104249
187579,104254
