VTMID,GPID
220295,210051
220295,210067
220295,210079
220295,210108
917117,210120
220305,210165
917117,210183
220322,210196
220333,210203
220333,210219
220346,210226
220351,210235
220351,210242
220351,210257
220351,210261
220367,210274
220379,210288
220379,210290
220380,210300
220398,210316
220398,210328
220403,210337
220403,210344
220403,210359
220403,210363
220419,210371
220419,210385
220419,210392
220419,210407
220426,210411
220442,210430
220457,210448
220457,210453
220457,210469
220457,210476
220461,210482
220461,210495
220461,210509
220461,210513
220461,210521
220461,210532
220461,210545
220461,210550
220474,210566
220474,210578
220474,210584
220474,210597
220488,210606
220488,210610
220488,210623
220490,210634
220490,210647
220490,210652
220490,210668
220501,210675
220501,210681
220501,210699
220501,210702
220501,210718
958236,210725
958236,210739
958236,210741
958236,210756
220538,210773
220540,210794
220555,210804
220555,210815
220564,210827
220586,210870
220593,210889
220593,210891
220604,210901
220615,210917
220615,210929
220615,210938
220615,210940
220627,210955
220627,210964
220636,210972
220636,210986
220643,210993
220658,211013
220658,211021
220658,211032
220662,211045
220662,211050
220662,211066
220670,211078
220670,211084
220670,211097
1157484,211107
220689,211111
220689,211124
220691,211130
220691,211148
220708,211153
220708,211169
220708,211176
220708,211182
220712,211195
220712,211202
220712,211225
220720,211239
745799,211241
220731,211256
220749,211260
220749,211273
220749,211287
220749,211294
220749,211304
220749,211315
220749,211327
220754,211343
220754,211358
220765,211362
220777,211370
220777,211389
220783,211391
220783,211406
220796,211410
220796,211434
220806,211452
220806,211468
220806,211475
220806,211481
226034,211499
220810,211520
885636,211549
885636,211554
220810,211565
220810,211577
885636,211583
220823,211596
220823,211605
220834,211622
220834,211633
220847,211646
220847,211651
220852,211667
220852,211679
220868,211680
220881,211701
220881,211717
220881,211729
220881,211738
220881,211740
220899,211755
220899,211764
220899,211786
220899,211793
220899,211803
220899,211819
220909,211826
220909,211835
220909,211842
220913,211857
220921,211874
220921,211890
220921,211900
220921,211916
878309,211928
220921,211937
220921,211944
220921,211959
220921,211963
220921,211971
220921,211985
220921,211992
220932,212039
220932,212056
220932,212087
492398,212094
220945,212104
220950,212115
220950,212127
220966,212136
220966,212143
220966,212158
220966,212162
220966,212170
220966,212189
220966,212191
220978,212209
220978,212213
220899,212232
220899,212245
678853,212250
220899,212266
220899,212284
220899,212307
221001,212311
222943,212324
221001,212348
221001,212376
221001,212382
221001,212395
221017,212416
221017,212437
221029,212459
221038,212471
221040,212485
221040,212492
221040,212503
221040,212519
221055,212526
221055,212535
221055,212542
221055,212557
221064,212561
221072,212574
221072,212588
746039,212590
226034,212617
226034,212629
226034,212655
917117,212664
226034,212672
226034,212705
917117,212714
226034,212722
518073,212733
226034,212746
917117,212751
959279,212767
226034,212779
226034,212780
221161,212798
221119,212812
221119,212831
221119,212849
221119,212865
221119,212877
221119,212883
221119,212906
221119,212910
221119,212923
221119,212934
221119,212947
221119,212952
221119,212968
221119,212975
221119,212981
221119,212999
221119,213007
221126,213011
221126,213024
221135,213048
221135,213053
221135,213069
221135,213076
221142,213082
221161,213095
221142,213105
221142,213114
221157,213122
221157,213133
221157,213146
221157,213151
531466,213179
221157,213180
221161,213259
221161,213263
221161,213285
746428,213302
746428,213318
746428,213339
221188,213356
221188,213360
221188,213373
221188,213394
221190,213445
221190,213450
221190,213466
220810,213484
221190,213497
221190,213506
221001,213510
221208,213523
991542,213534
991542,213547
991542,213552
220932,213575
221231,213581
221231,213599
221231,213608
221249,213612
221249,213620
221249,213631
221254,213654
221265,213665
221265,213677
221265,213683
221277,213704
221283,213715
221283,213727
221296,213762
221296,213770
221296,213789
221296,213791
221296,213801
221306,213817
221306,213829
221306,213838
221306,213840
221310,213855
221310,213864
221310,213872
221310,213886
221310,213893
221310,213903
221310,213919
221310,213926
221310,213935
221347,213961
221347,213974
221347,213988
221347,213990
221352,214001
221352,214017
221352,214029
221352,214038
221352,214040
221352,214055
221352,214064
221352,214072
221352,214086
221352,214093
256574,214103
221368,214119
221368,214135
221368,214157
221375,214161
221381,214174
221381,214188
221381,214190
221381,214208
221381,214220
221399,214283
221399,214296
769275,214334
221427,214347
221427,214352
221427,214375
221436,214381
221443,214399
221443,214404
221443,214415
221462,214458
221470,214462
221489,214470
221489,214489
221489,214491
221502,214525
221502,214539
221518,214556
221518,214560
221518,214573
221518,214587
221518,214594
221525,214600
221525,214616
696183,214628
696183,214637
696183,214663
696183,214671
696183,214685
696183,214709
696183,214713
696183,214721
696183,214732
221541,214745
221556,214750
221556,214766
690528,214778
690528,214784
690528,214807
867095,214811
221587,214824
221587,214830
221587,214848
221594,214853
221594,214869
221594,214876
221600,214882
221600,214895
221600,214905
221616,214914
221616,214922
221616,214933
221628,214946
221628,214951
221628,214967
221628,214979
221637,214980
221637,214998
221637,215000
221644,215016
221644,215028
221644,215037
221644,215044
221644,215059
221659,215063
221663,215071
221663,215085
221663,215092
221663,215102
221663,215118
221671,215139
221671,215141
221671,215160
221671,215173
221671,215187
221671,215194
221671,215207
221671,215211
221671,215224
221671,215230
221671,215248
221671,215253
221671,215269
221671,215276
221671,215282
221671,215295
221671,215305
221685,215314
221685,215322
221685,215333
221685,215346
221685,215351
221685,215367
221692,215379
221692,215380
221692,215398
221692,215403
221692,215419
221692,215426
221709,215435
221709,215442
221709,215457
221713,215461
221713,215474
221721,215488
221721,215517
221732,215529
221732,215538
221732,215540
963993,215555
963993,215564
963993,215572
975834,215586
975834,215593
963993,215604
221750,215615
999852,215627
999852,215636
999852,215658
999852,215662
999852,215670
221784,215712
877963,215731
221807,215754
221807,215765
221807,215777
221807,215783
221811,215796
221811,215806
221811,215810
221811,215823
221811,215834
221811,215847
221811,215852
221811,215868
228829,215875
221830,215913
221848,215966
221853,215978
221853,215984
221853,215997
878309,216004
878309,216027
221876,216062
221876,216070
221882,216089
221882,216091
221895,216101
221895,216117
221895,216129
221895,216138
221895,216140
221914,216164
221914,216172
221914,216186
221914,216193
221914,216206
221922,216210
221933,216223
221933,216234
221933,216247
221946,216252
221946,216275
221946,216281
221951,216299
221951,216309
221967,216313
221967,216321
221979,216332
221980,216350
