TMTID(GP),FSN,CHANGEDATE
842370,90Y-ibritumomab tiuxetan 3.2 mg/2 mL solution for injection (GP),20140817
882297,A/new caledonia/20/99 (H1N1) like strain derived used IVR-116 15 mcg/500 mcL + A/wellington/1/2004(IVR-139) 15 mcg/500 mcL + B/shanghai/361/2002 like strain used B/jiangsu/10/2003 15 mcg/500 mcL solution for injection (GP),20150119
842423,abacavir 100 mg/5 mL syrup (GP),20140817
1197033,abacavir 20 mg/1 mL oral solution (GP),20210813
465145,abacavir 300 mg + lamivudine 150 mg + zidovudine 300 mg film-coated tablet (GP),20130805
662401,abacavir 300 mg film-coated tablet (GP),20131102
1002394,abacavir 600 mg + dolutegravir 50 mg + lamivudine 300 mg film-coated tablet (GP),20170114
355375,abacavir 600 mg + lamivudine 300 mg film-coated tablet (GP),20150922
719146,abatacept 250 mg powder for concentrate for solution for infusion (GP),20150909
210165,abciximab 10 mg/5 mL solution for injection/infusion (GP),20150802
1168263,abemaciclib 100 mg film-coated tablet (GP),20201202
1168356,abemaciclib 150 mg film-coated tablet (GP),20201202
1168445,abemaciclib 200 mg film-coated tablet (GP),20201202
1167561,abemaciclib 50 mg film-coated tablet (GP),20201202
1102242,abiraterone acetate 250 mg film-coated tablet (GP),20190315
683605,abiraterone acetate 250 mg tablet (GP),20140104
1050505,abiraterone acetate 500 mg film-coated tablet (GP),20190120
1256183,abrocitinib 100 mg film-coated tablet (GP),20230304
1256274,abrocitinib 200 mg film-coated tablet (GP),20230304
1282001,"acalabrutinib 100 mg capsule, hard (GP)",20230902
336644,acarbose 100 mg tablet (GP),20130805
336750,acarbose 50 mg tablet (GP),20130805
1287387,aceclofenac 100 mg film-coated tablet (GP),20231104
749819,"acemetacin 90 mg prolonged-release capsule, hard (GP)",20140324
833849,acerola 30 mg + ascorbic acid 470 mg prolonged-release tablet (GP),20140803
1106255,acerola 50 mg + ascorbic acid 400 mg + bioflavonoids 25 mg + calcium ascorbate 400 mg + hesperidin 50 mg + rosehips 250 mg + rutin 50 mg + sodium ascorbate 350 mg film-coated tablet (GP),20190411
989891,acetazolamide 10 mg/1 mL oral suspension (GP),20160703
228696,acetazolamide 250 mg tablet (GP),20130805
1271107,acetazolamide 50 mg/1 mL oral suspension (GP),20230617
975322,acetic acid 1 g/100 mL cutaneous solution (GP),20160214
916335,"acetic acid 1 g/100 mL ear drops, solution (GP)",20150316
1040699,acetic acid 1 mL/100 mL cutaneous solution (GP),20181010
1039839,"acetic acid 1 mL/100 mL ear drops, solution (GP)",20180926
934829,acetic acid 1.5 g/100 mL stomach irrigation (GP),20150503
952715,acetic acid 1.98 mL/100 mL cutaneous solution (GP),20150703
941443,acetic acid 10 mg/1 mL cutaneous solution (GP),20150515
952791,acetic acid 2 mL/100 mL cutaneous solution (GP),20150703
992646,"acetic acid 2 mL/100 mL ear drops, solution (GP)",20160812
879612,acetic acid 3 g/100 mL cutaneous solution (GP),20150105
932653,"acetic acid 3 g/100 mL ear drops, solution (GP)",20150418
1040702,acetic acid 3 mL/100 mL cutaneous solution (GP),20181010
1039856,"acetic acid 3 mL/100 mL ear drops, solution (GP)",20180926
917912,acetic acid 30 g/100 mL cutaneous solution (GP),20150404
1014234,acetic acid 4 g/100 mL cutaneous solution (GP),20170916
919427,acetic acid 4.64 mL/100 mL + aluminium sulfate 7.91 g/100 mL + boric acid 680 mg/100 mL + calcium carbonate 3.82 g/100 mL cutaneous solution (GP),20150404
707776,acetic acid 400 mcL/100 mL + aluminium sulfate 362.5 mg/100 mL + calcium carbonate 175 mg/100 mL cutaneous solution (GP),20230113
917965,acetic acid 5 g/100 mL cutaneous solution (GP),20150404
951997,acetic acid 5 mL/100 mL cutaneous solution (GP),20150614
1040681,"acetic acid 5 mL/100 mL ear drops, solution (GP)",20181010
936468,"acetic acid 500 mcL/100 mL ear drops, solution (GP)",20150503
1205766,acetic acid 8.7 mL/100 mL + aluminium sulfate 8.7 g/100 mL + boric acid 435 mg/100 mL + calcium carbonate 3.82 g/100 mL cutaneous solution (GP),20211029
527685,"acetylcysteine 1 g/100 mL + tuaminoheptane 500 mg/100 mL nasal spray, solution (GP)",20130914
536162,acetylcysteine 1 g/5 mL solution for injection (GP),20131005
916255,"acetylcysteine 10 g/100 mL eye drops, solution (GP)",20150316
228838,acetylcysteine 100 mg tablet (GP),20130805
1275643,acetylcysteine 100 mg/3 g powder for oral solution (GP),20230715
962662,acetylcysteine 100 mg/5 g granules for oral solution (GP),20170316
1004802,acetylcysteine 100 mg/5 g powder for oral solution (GP),20170316
870580,acetylcysteine 100 mg/6 g granules for oral solution (GP),20170316
228886,acetylcysteine 200 mg tablet (GP),20130805
826526,acetylcysteine 200 mg/1 g granules for oral solution (GP),20170316
801742,acetylcysteine 200 mg/1 g powder for oral solution (GP),20170316
1004303,acetylcysteine 200 mg/3 g granules for oral solution (GP),20170316
215875,acetylcysteine 200 mg/3 g powder for oral solution (GP),20150909
536307,acetylcysteine 200 mg/3 g powder for solution for injection (GP),20131005
801703,acetylcysteine 200 mg/5 g granules for oral solution (GP),20170316
1009493,acetylcysteine 300 mg/1.5 mL solution for injection (GP),20180531
536213,acetylcysteine 300 mg/3 mL solution for injection (GP),20131005
528132,"acetylcysteine 5 g/100 mL eye drops, solution (GP)",20130914
536115,acetylcysteine 5 g/25 mL solution for injection (GP),20131005
338442,"acetylcysteine 600 mg capsule, hard (GP)",20130805
1044064,acetylcysteine 600 mg effervescent powder (GP),20190531
300730,acetylcysteine 600 mg effervescent tablet (GP),20130805
383223,acetylcysteine 600 mg film-coated tablet (GP),20130805
228935,acetylcysteine 600 mg tablet (GP),20130805
766132,acetylcysteine 600 mg/5 g granules for oral solution (GP),20170916
1115174,acetylcysteine 600 mg/5 g powder for oral solution (GP),20211110
838703,acetylcysteine 600 mg/7 g granules for oral solution (GP),20170902
536655,aciclovir 1 g powder for solution for infusion (GP),20160417
536353,aciclovir 100 mg/100 mL solution for injection (GP),20131005
1156639,aciclovir 20 mg/1 mL oral suspension (GP),20200801
256376,"aciclovir 200 mg capsule, hard (GP)",20130805
226546,aciclovir 200 mg tablet (GP),20130805
662618,aciclovir 200 mg/5 mL oral suspension (GP),20160417
536459,aciclovir 250 mg powder for solution for infusion (GP),20160417
536400,aciclovir 250 mg/10 mL concentrate for solution for infusion (GP),20160417
662660,aciclovir 3 g/100 g eye ointment (GP),20131102
230900,aciclovir 400 mg tablet (GP),20130805
872641,aciclovir 5 g/100 g cream (GP),20141214
536601,aciclovir 50 mg/100 mL solution for injection (GP),20131005
520252,aciclovir 500 mg powder for solution for infusion (GP),20130914
1317671,aciclovir 500 mg powder for solution for injection/infusion (GP),20241215
536557,aciclovir 500 mg/20 mL concentrate for solution for infusion (GP),20160417
230959,aciclovir 800 mg tablet (GP),20130805
210196,"acipimox 250 mg capsule, hard (GP)",20150703
1271176,acitretin 1 mg/1 mL oral suspension (GP),20230617
387995,"acitretin 10 mg capsule, hard (GP)",20130805
388065,"acitretin 25 mg capsule, hard (GP)",20130805
1304931,acotiamide hydrochloride hydrate 100 mg film-coated tablet (GP),20240817
890561,acriflavinium chloride 100 mg/100 mL + brilliant green 250 mg/100 mL + gentian violet 250 mg/100 mL cutaneous solution (GP),20150202
953463,acriflavinium chloride 100 mg/100 mL cutaneous solution (GP),20150716
773427,acriflavinium chloride 110 mg/100 mL + brilliant green 220 mg/100 mL + gentian violet 220 mg/100 mL cutaneous solution (GP),20161017
936066,acriflavinium chloride 110 mg/100 mL + brilliant green 230 mg/100 mL + gentian violet 230 mg/100 mL cutaneous solution (GP),20151004
992148,acriflavinium chloride 114 mg/100 mL + brilliant green 225 mg/100 mL + gentian violet 225 mg/100 mL cutaneous solution (GP),20160731
960467,acriflavinium chloride 114 mg/100 mL + brilliant green 229 mg/100 mL + gentian violet 229 mg/100 mL cutaneous solution (GP),20150922
980959,acriflavinium chloride 115 mg/100 mL + brilliant green 227 mg/100 mL + gentian violet 227 mg/100 mL cutaneous solution (GP),20160404
970681,acriflavinium chloride 200 mg/100 mL cutaneous solution (GP),20160117
742662,activated charcoal 100 mg + belladonna dry extract 6 mg + magnesium hydroxide 100 mg + peppermint oil 3 mcL tablet (GP),20140304
888100,activated charcoal 100 mg + belladonna dry extract 6 mg + magnesium hydroxide 150 mg tablet (GP),20150202
853747,activated charcoal 100 mg powder for oral suspension (GP),20141004
982967,activated charcoal 15 g powder for oral suspension (GP),20160418
982980,activated charcoal 20 g powder for oral suspension (GP),20160418
756320,activated charcoal 250 mg tablet (GP),20140407
726409,"activated charcoal 260 mg capsule, hard (GP)",20140118
966693,activated charcoal 30 g powder for oral suspension (GP),20151222
763455,activated charcoal 5 g powder for oral suspension (GP),20140407
769805,activated charcoal 50 g powder for oral suspension (GP),20140407
1043547,activated charcoal 65 mg + peppermint oil 1 mg + sodium bicarbonate 250 mg tablet (GP),20181129
904664,activated charcoal 65 mg + sodium bicarbonate 250 mg tablet (GP),20150228
744674,activated charcoal 90 mg + diastase 30 mg + extract of gentian 20 mg + ginger oleoresin 5 mg + pancreatin 20 mg + papain 60 mg + pepsin A 180 mg + thiamine 2 mg coated tablet (GP),20140304
781749,activated charcoal powder for oral suspension (GP),20140504
210203,"activated protein c, recombinant human 20 mg powder for solution for injection (GP)",20130627
210219,"activated protein c, recombinant human 5 mg powder for solution for injection (GP)",20130627
1169776,adalimumab 20 mg/0.4 mL solution for injection (GP),20201217
1312758,adalimumab 40 mg/0.4 mL solution for injection (GP),20241102
210226,adalimumab 40 mg/0.8 mL solution for injection (GP),20150802
656989,adapalene 100 mg/100 g + benzoyl peroxide 2.5 g/100 g gel (GP),20131102
487136,adapalene 100 mg/100 g cream (GP),20130830
487170,adapalene 100 mg/100 g gel (GP),20130830
646508,adefovir dipivoxil 10 mg tablet (GP),20131005
536906,adenosine 6 mg/2 mL solution for injection (GP),20131005
649232,aescin 1 g/100 g + diethylamine salicylate 5 g/100 g gel (GP),20131005
1256741,aescin 20 mg film-coated tablet (GP),20230304
425318,aescin 20 mg gastro-resistant tablet (GP),20170629
