TMTID(GPP),FSN,CHANGEDATE
1197098,"abacavir 20 mg/1 mL oral solution, 1 x 240 mL bottle, 1 box (GPP)",20210813
1197079,"abacavir 20 mg/1 mL oral solution, 240 mL bottle (GPP)",20210813
1047650,"abacavir 300 mg film-coated tablet, 10 tablet, 1 blister (GPP)",20181217
1045658,"abacavir 300 mg film-coated tablet, 10 tablet, blister (GPP)",20250118
1045670,"abacavir 300 mg film-coated tablet, 6 blister, 1 box (GPP)",20250118
1060947,"abacavir 600 mg + lamivudine 300 mg film-coated tablet, 10 tablet, 1 blister (GPP)",20190216
1295449,"abacavir 600 mg + lamivudine 300 mg film-coated tablet, 30 tablet (1 x 30 tablet bottle), 1 box (GPP)",20240412
1060968,"abacavir 600 mg + lamivudine 300 mg film-coated tablet, 30 tablet (3 x 10 tablet blister), 1 box (GPP)",20190216
1295420,"abacavir 600 mg + lamivudine 300 mg film-coated tablet, 30 tablet bottle (GPP)",20240412
1133893,"abciximab 10 mg/5 mL solution for injection/infusion, 5 mL vial, 1 box (GPP)",20191212
1168325,"abemaciclib 100 mg film-coated tablet, 14 tablet (2 x 7 tablet blister), 1 box (GPP)",20201202
1168302,"abemaciclib 100 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20201202
1168413,"abemaciclib 150 mg film-coated tablet, 14 tablet (2 x 7 tablet blister), 1 box (GPP)",20201202
1168394,"abemaciclib 150 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20201202
1168506,"abemaciclib 200 mg film-coated tablet, 14 tablet (2 x 7 tablet blister), 1 box (GPP)",20201202
1168484,"abemaciclib 200 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20201202
1167629,"abemaciclib 50 mg film-coated tablet, 14 tablet (2 x 7 tablet blister), 1 box (GPP)",20201202
1167601,"abemaciclib 50 mg film-coated tablet, 7 tablet blister (GPP)",20240516
1291094,"abiraterone acetate 250 mg film-coated tablet, 10 tablet blister (GPP)",20240202
1102300,"abiraterone acetate 250 mg film-coated tablet, 120 tablet (1 x 120 tablet bottle), 1 box (GPP)",20190315
1291115,"abiraterone acetate 250 mg film-coated tablet, 120 tablet (12 x 10 tablet blister), 1 box (GPP)",20240202
1102288,"abiraterone acetate 250 mg film-coated tablet, 120 tablet, 1 bottle (GPP)",20190315
1086466,"abiraterone acetate 250 mg tablet, 120 tablet (1 x 120 tablet bottle), 1 box (GPP)",20190216
1086445,"abiraterone acetate 250 mg tablet, 120 tablet, 1 bottle (GPP)",20190216
1291232,"abiraterone acetate 500 mg film-coated tablet, 10 tablet, 1 blister (GPP)",20250201
1050546,"abiraterone acetate 500 mg film-coated tablet, 12 tablet, 1 blister (GPP)",20190120
1291250,"abiraterone acetate 500 mg film-coated tablet, 6 blister, 1 box (GPP)",20250201
1050567,"abiraterone acetate 500 mg film-coated tablet, 60 tablet (5 x 12 tablet blister), 1 box (GPP)",20190120
1256242,"abrocitinib 100 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20230304
1256226,"abrocitinib 100 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20230304
1256337,"abrocitinib 200 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20230304
1256316,"abrocitinib 200 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20230304
1282040,"acalabrutinib 100 mg capsule, hard, 6 capsule, 1 blister (GPP)",20230902
1282064,"acalabrutinib 100 mg capsule, hard, 60 capsule (10 x 6 capsule blister), 1 box (GPP)",20230902
1059988,"acarbose 100 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1060002,"acarbose 100 mg tablet, 30 tablet (3 x 10 tablet blister), 1 box (GPP)",20190216
1079949,"acarbose 50 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1287421,"aceclofenac 100 mg film-coated tablet, 10 tablet, 1 blister (GPP)",20231104
1287445,"aceclofenac 100 mg film-coated tablet, 40 tablet (4 x 10 tablet blister), 1 box (GPP)",20231104
1106335,"acerola 50 mg + ascorbic acid 400 mg + bioflavonoids 25 mg + calcium ascorbate 400 mg + hesperidin 50 mg + rosehips 250 mg + rutin 50 mg + sodium ascorbate 350 mg film-coated tablet, 150 tablet, 1 bottle (GPP)",20190411
1106293,"acerola 50 mg + ascorbic acid 400 mg + bioflavonoids 25 mg + calcium ascorbate 400 mg + hesperidin 50 mg + rosehips 250 mg + rutin 50 mg + sodium ascorbate 350 mg film-coated tablet, 31 tablet, 1 bottle (GPP)",20190411
1106319,"acerola 50 mg + ascorbic acid 400 mg + bioflavonoids 25 mg + calcium ascorbate 400 mg + hesperidin 50 mg + rosehips 250 mg + rutin 50 mg + sodium ascorbate 350 mg film-coated tablet, 62 tablet, 1 bottle (GPP)",20190411
1153522,"acetazolamide 10 mg/1 mL oral suspension, 25 mL bottle (GPP)",20200719
1153567,"acetazolamide 10 mg/1 mL oral suspension, 50 mL bottle (GPP)",20200719
1075235,"acetazolamide 250 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1075257,"acetazolamide 250 mg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1109017,"acetazolamide 250 mg tablet, 1000 tablet, 1 bottle (GPP)",20190411
1271148,"acetazolamide 50 mg/1 mL oral suspension, 25 mL bottle (GPP)",20230617
1207499,"acetic acid 3 mL/100 mL ear drops, solution, 10 mL bottle (GPP)",20211110
1205807,"acetic acid 8.7 mL/100 mL + aluminium sulfate 8.7 g/100 mL + boric acid 435 mg/100 mL + calcium carbonate 3.82 g/100 mL cutaneous solution, 240 mL bottle (GPP)",20211029
1275689,"acetylcysteine 100 mg/3 g powder for oral solution, 3 g sachet (GPP)",20230715
1275708,"acetylcysteine 100 mg/3 g powder for oral solution, 50 x 3 g sachet, 1 box (GPP)",20230715
1055142,"acetylcysteine 100 mg/5 g granules for oral solution, 25 x 5 g sachet, 1 box (GPP)",20190216
1126581,"acetylcysteine 100 mg/5 g granules for oral solution, 50 x 5 g sachet, 1 box (GPP)",20191004
1151286,"acetylcysteine 100 mg/5 g powder for oral solution, 100 x 5 g sachet, 1 box (GPP)",20200705
1151264,"acetylcysteine 100 mg/5 g powder for oral solution, 5 g sachet (GPP)",20200705
1197120,"acetylcysteine 100 mg/5 g powder for oral solution, 50 x 5 g sachet, 1 box (GPP)",20210813
1286377,"acetylcysteine 200 mg/3 g granules for oral solution, 3 g sachet (GPP)",20231013
1286396,"acetylcysteine 200 mg/3 g granules for oral solution, 30 x 3 g sachet, 1 box (GPP)",20231013
1275754,"acetylcysteine 200 mg/3 g powder for oral solution, 3 g sachet (GPP)",20230715
1275777,"acetylcysteine 200 mg/3 g powder for oral solution, 50 x 3 g sachet, 1 box (GPP)",20230715
1151342,"acetylcysteine 200 mg/5 g granules for oral solution, 100 x 5 g sachet, 1 box (GPP)",20200705
1052602,"acetylcysteine 200 mg/5 g granules for oral solution, 25 x 5 g sachet, 1 box (GPP)",20190216
1151326,"acetylcysteine 200 mg/5 g granules for oral solution, 5 g sachet (GPP)",20200705
1184650,"acetylcysteine 200 mg/5 g granules for oral solution, 50 x 5 g sachet, 1 box (GPP)",20210331
1098158,"acetylcysteine 300 mg/3 mL solution for injection, 10 x 3 mL ampoule, 1 box (GPP)",20190216
1047326,"acetylcysteine 600 mg effervescent powder, 30 x 3.1 g sachet, 1 box (GPP)",20181217
1075584,"acetylcysteine 600 mg effervescent tablet, 10 tablet (1 x 10 tablet jar), 1 box (GPP)",20190216
1275615,"acetylcysteine 600 mg effervescent tablet, 10 tablet (1 x 10 tablet tube), 1 box (GPP)",20230715
1090874,"acetylcysteine 600 mg effervescent tablet, 10 tablet (5 x 2 tablet blister), 1 box (GPP)",20190216
1075566,"acetylcysteine 600 mg effervescent tablet, 10 tablet, 1 jar (GPP)",20190216
1275593,"acetylcysteine 600 mg effervescent tablet, 10 tablet, 1 tube (GPP)",20230715
1090857,"acetylcysteine 600 mg effervescent tablet, 2 tablet, 1 blister (GPP)",20190216
1115212,"acetylcysteine 600 mg/5 g powder for oral solution, 50 x 5 g sachet, 1 box (GPP)",20190614
1271260,"aciclovir 20 mg/1 mL oral suspension, 20 mL bottle (GPP)",20230617
1156673,"aciclovir 20 mg/1 mL oral suspension, 60 mL bottle (GPP)",20200801
1065974,"aciclovir 200 mg tablet, 25 tablet (5 x 5 tablet blister), 1 box (GPP)",20190216
1065957,"aciclovir 200 mg tablet, 5 tablet, 1 blister (GPP)",20190216
1210705,"aciclovir 200 mg/5 mL oral suspension, 1 x 60 mL bottle, 1 box (GPP)",20211110
1210686,"aciclovir 200 mg/5 mL oral suspension, 60 mL bottle (GPP)",20211110
1133758,"aciclovir 250 mg powder for solution for infusion, 1 vial (1 x 1 vial), 1 box (GPP)",20211202
1218481,"aciclovir 250 mg powder for solution for infusion, 1 vial (GPP)",20211202
1098094,"aciclovir 250 mg powder for solution for infusion, 5 vial, 1 box (GPP)",20190216
1185304,"aciclovir 250 mg/10 mL concentrate for solution for infusion, 10 mL vial (GPP)",20210331
1185327,"aciclovir 250 mg/10 mL concentrate for solution for infusion, 10 x 10 mL vial, 1 box (GPP)",20210331
1182341,"aciclovir 400 mg tablet, 10 tablet, 1 blister (GPP)",20210331
1194995,"aciclovir 400 mg tablet, 25 tablet (5 x 5 tablet blister), 1 box (GPP)",20210715
1065990,"aciclovir 400 mg tablet, 5 tablet, 1 blister (GPP)",20190216
1066012,"aciclovir 400 mg tablet, 70 tablet (14 x 5 tablet blister), 1 box (GPP)",20190216
1182360,"aciclovir 400 mg tablet, 70 tablet (7 x 10 tablet blister), 1 box (GPP)",20210331
1172258,"aciclovir 5 g/100 g cream, 1 x 100 g tube, 1 box (GPP)",20210113
1202781,"aciclovir 5 g/100 g cream, 1 x 15 g tube, 1 box (GPP)",20210915
1162446,"aciclovir 5 g/100 g cream, 1 x 5 g tube, 1 box (GPP)",20201002
1172236,"aciclovir 5 g/100 g cream, 100 g tube (GPP)",20210113
1202768,"aciclovir 5 g/100 g cream, 15 g tube (GPP)",20210915
1162422,"aciclovir 5 g/100 g cream, 5 g tube (GPP)",20201002
1133791,"aciclovir 500 mg powder for solution for infusion, 1 vial (1 x 1 vial), 1 box (GPP)",20211202
1218512,"aciclovir 500 mg powder for solution for infusion, 1 vial (GPP)",20211202
1317713,"aciclovir 500 mg powder for solution for injection/infusion, 1 vial (GPP)",20241215
1317732,"aciclovir 500 mg powder for solution for injection/infusion, 1 vial, 1 box (GPP)",20241215
1066054,"aciclovir 800 mg tablet, 35 tablet (7 x 5 tablet blister), 1 box (GPP)",20190216
1309680,"aciclovir 800 mg tablet, 5 blister, 1 box (GPP)",20241005
1066031,"aciclovir 800 mg tablet, 5 tablet, 1 blister (GPP)",20190216
1309667,"aciclovir 800 mg tablet, 7 tablet, blister (GPP)",20241005
1271218,"acitretin 1 mg/1 mL oral suspension, 20 mL bottle (GPP)",20230617
1082287,"acitretin 10 mg capsule, hard, 10 capsule, 1 blister (GPP)",20190216
1082304,"acitretin 10 mg capsule, hard, 30 capsule (3 x 10 capsule blister), 1 box (GPP)",20190216
1082327,"acitretin 25 mg capsule, hard, 10 capsule, 1 blister (GPP)",20190216
1082343,"acitretin 25 mg capsule, hard, 30 capsule (3 x 10 capsule blister), 1 box (GPP)",20190216
1304996,"acotiamide hydrochloride hydrate 100 mg film-coated tablet, 1 box (GPP)",20240831
1304977,"acotiamide hydrochloride hydrate 100 mg film-coated tablet, 10 tablet, blister (GPP)",20240817
1185835,"acriflavinium chloride 200 mg/100 mL cutaneous solution, 30 mL bottle (GPP)",20210418
1058164,"activated charcoal 250 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1058186,"activated charcoal 250 mg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1287935,"activated charcoal 260 mg capsule, hard, 10 capsule (1 x 10 capsule blister), 1 box (GPP)",20231118
1287893,"activated charcoal 260 mg capsule, hard, 10 capsule, 1 blister (GPP)",20231118
1288601,"activated charcoal 260 mg capsule, hard, 100 capsule (10 x 10 capsule blister), 1 box (GPP)",20231203
1287919,"activated charcoal 260 mg capsule, hard, 200 capsule (20 x 10 capsule blister), 1 box (GPP)",20231118
1047700,"activated charcoal 65 mg + peppermint oil 1 mg + sodium bicarbonate 250 mg tablet, 1000 tablet, 1 bottle (GPP)",20181217
1169814,"adalimumab 20 mg/0.4 mL solution for injection, 0.4 mL prefilled syr (GPP)",20201217
1169833,"adalimumab 20 mg/0.4 mL solution for injection, 1 x 0.4 mL prefilled syr, 1 box (GPP)",20201217
1312791,"adalimumab 40 mg/0.4 mL solution for injection, 0.4 mL prefilled pen (GPP)",20241102
1312817,"adalimumab 40 mg/0.4 mL solution for injection, 1 prefilled pen, 1 box (GPP)",20241102
1164717,"adalimumab 40 mg/0.8 mL solution for injection, 0.8 mL prefilled pen (GPP)",20201016
1171439,"adalimumab 40 mg/0.8 mL solution for injection, 0.8 mL prefilled syr (GPP)",20201230
1189953,"adalimumab 40 mg/0.8 mL solution for injection, 1 x 0.8 mL prefilled pen, 1 box (GPP)",20210513
