TMTID(GPU),FSN,CHANGEDATE
842389,"90Y-ibritumomab tiuxetan 3.2 mg/2 mL solution for injection, 2 mL vial (GPU)",20140817
882307,"A/new caledonia/20/99 (H1N1) like strain derived used IVR-116 15 mcg/500 mcL + A/wellington/1/2004(IVR-139) 15 mcg/500 mcL + B/shanghai/361/2002 like strain used B/jiangsu/10/2003 15 mcg/500 mcL solution for injection, 4 dose vial (GPU)",20150119
842434,"abacavir 100 mg/5 mL syrup, 240 mL bottle (GPU)",20140817
1197046,"abacavir 20 mg/1 mL oral solution, 240 mL bottle (GPU)",20210813
465150,"abacavir 300 mg + lamivudine 150 mg + zidovudine 300 mg film-coated tablet, 1 tablet (GPU)",20130805
662417,"abacavir 300 mg film-coated tablet, 1 tablet (GPU)",20131102
1002409,"abacavir 600 mg + dolutegravir 50 mg + lamivudine 300 mg film-coated tablet, 1 tablet (GPU)",20170114
355381,"abacavir 600 mg + lamivudine 300 mg film-coated tablet, 1 tablet (GPU)",20150922
719151,"abatacept 250 mg powder for concentrate for solution for infusion, 1 vial (GPU)",20150909
199833,"abciximab 10 mg/5 mL solution for injection/infusion, 5 mL vial (GPU)",20150802
1168271,"abemaciclib 100 mg film-coated tablet, 1 tablet (GPU)",20201202
1168360,"abemaciclib 150 mg film-coated tablet, 1 tablet (GPU)",20201202
1168450,"abemaciclib 200 mg film-coated tablet, 1 tablet (GPU)",20201202
1167574,"abemaciclib 50 mg film-coated tablet, 1 tablet (GPU)",20201202
1102257,"abiraterone acetate 250 mg film-coated tablet, 1 tablet (GPU)",20190315
683614,"abiraterone acetate 250 mg tablet, 1 tablet (GPU)",20140104
1050514,"abiraterone acetate 500 mg film-coated tablet, 1 tablet (GPU)",20190120
1256196,"abrocitinib 100 mg film-coated tablet, 1 tablet (GPU)",20230304
1256288,"abrocitinib 200 mg film-coated tablet, 1 tablet (GPU)",20230304
1282017,"acalabrutinib 100 mg capsule, hard, 1 capsule (GPU)",20230902
336659,"acarbose 100 mg tablet, 1 tablet (GPU)",20130805
336766,"acarbose 50 mg tablet, 1 tablet (GPU)",20130805
1287394,"aceclofenac 100 mg film-coated tablet, 1 tablet (GPU)",20231104
749826,"acemetacin 90 mg prolonged-release capsule, hard, 1 capsule (GPU)",20140324
833854,"acerola 30 mg + ascorbic acid 470 mg prolonged-release tablet, 1 tablet (GPU)",20140803
1106264,"acerola 50 mg + ascorbic acid 400 mg + bioflavonoids 25 mg + calcium ascorbate 400 mg + hesperidin 50 mg + rosehips 250 mg + rutin 50 mg + sodium ascorbate 350 mg film-coated tablet, 1 tablet (GPU)",20190411
989901,"acetazolamide 10 mg/1 mL oral suspension, 25 mL bottle (GPU)",20160703
1153546,"acetazolamide 10 mg/1 mL oral suspension, 50 mL bottle (GPU)",20200719
228704,"acetazolamide 250 mg tablet, 1 tablet (GPU)",20130805
1271111,"acetazolamide 50 mg/1 mL oral suspension, 25 mL bottle (GPU)",20230617
975367,"acetic acid 1 g/100 mL cutaneous solution, 1 L bottle (GPU)",20160214
