TMTID(SUBS),FSN,CHANGEDATE
842343,90Y-ibritumomab tiuxetan (SUBS),20140817
882221,A/new caledonia/20/99 (H1N1) like strain derived used IVR-116 (SUBS),20150119
882245,A/wellington/1/2004(IVR-139) (SUBS),20150119
355347,abacavir (SUBS),20130805
719114,abatacept (SUBS),20140118
223137,abciximab (SUBS),20130627
1167535,abemaciclib (SUBS),20201202
683577,abiraterone acetate (SUBS),20140104
1256154,abrocitinib (SUBS),20230304
1281970,acalabrutinib (SUBS),20230902
336616,acarbose (SUBS),20130805
1287356,aceclofenac (SUBS),20231104
223144,acemetacin (SUBS),20130627
833808,acerola (SUBS),20190411
228665,acetazolamide (SUBS),20130805
879581,acetic acid (SUBS),20150105
228801,acetylcysteine (SUBS),20130805
872618,aciclovir (SUBS),20141214
223159,acipimox (SUBS),20130627
387969,acitretin (SUBS),20130805
1304908,acotiamide hydrochloride hydrate (SUBS),20240817
890519,acriflavinium chloride (SUBS),20150202
742615,activated charcoal (SUBS),20140304
223163,"activated protein c, recombinant human (SUBS)",20130627
223171,adalimumab (SUBS),20130627
487104,adapalene (SUBS),20130830
646475,adefovir dipivoxil (SUBS),20160917
536877,adenosine (SUBS),20131005
322695,aescin (SUBS),20130805
692801,aesculin (SUBS),20140104
887357,afatinib (SUBS),20150202
824603,aflibercept (SUBS),20140721
1303392,agalsidase alfa (SUBS),20240802
719200,agalsidase beta (SUBS),20140118
470004,agomelatine (SUBS),20130805
805245,alanine (SUBS),20150801
227311,albendazole (SUBS),20130805
735028,albumin (SUBS),20140214
864379,alcaftadine (SUBS),20141123
762405,alcohol (SUBS),20141007
1016284,alectinib (SUBS),20170929
1043654,alemtuzumab (SUBS),20181129
223185,alendronic acid (SUBS),20150116
235879,alfacalcidol (SUBS),20130805
652005,alfuzosin hydrochloride (SUBS),20160917
223192,alginic acid (SUBS),20130627
719325,alglucosidase alfa (SUBS),20140118
1025991,alirocumab (SUBS),20180315
223205,aliskiren (SUBS),20130627
794878,alkyl ether sulfate (SUBS),20140519
874923,allergen extract bermuda (SUBS),20141214
875064,allergen extract carelessweed (SUBS),20141214
875135,allergen extract cat pelt (SUBS),20141214
934961,allergen extract cockroach (SUBS),20150503
912430,allergen extract d.farinac (SUBS),20150314
912509,allergen extract d.pteronyssinus (SUBS),20150314
875347,allergen extract fire ant (SUBS),20141214
875208,allergen extract honey bee (SUBS),20141214
874999,allergen extract johnson grass (SUBS),20141214
874854,allergen extract mixed cockroach (SUBS),20141214
874780,allergen extract mixed mite (SUBS),20141214
875277,allergen extract mixed vespid (SUBS),20141214
874714,allergen extract standardized mite (SUBS),20141214
943163,allergen mixed vespid (SUBS),20150515
943205,allergen yellow hornet (SUBS),20150515
234059,allopurinol (SUBS),20130805
683667,almitrine (SUBS),20140104
645272,almitrine dimesilate (SUBS),20131005
943331,almond oil (SUBS),20150515
842651,aloe (SUBS),20140901
714629,aloe vera (SUBS),20180302
958533,alogliptin (SUBS),20150910
1175970,alpelisib (SUBS),20210211
859418,alpha tocopherol acetate (SUBS),20150801
233068,alprazolam (SUBS),20130805
799569,alprostadil (SUBS),20140519
654682,alteplase (SUBS),20131102
223214,altretamine (SUBS),20130627
899980,aluminium acetate (SUBS),20150218
880938,aluminium chloride (SUBS),20150119
835370,aluminium chloride hexahydrate (SUBS),20140803
223222,aluminium hydroxide (SUBS),20130627
807652,aluminium hydroxide-magnesium carbonate co-dried gel (SUBS),20140602
784110,aluminium magnesium silicate (SUBS),20140504
223233,aluminium sodium silicate (SUBS),20130627
915122,aluminium subacetate (SUBS),20150314
919375,aluminium sulfate (SUBS),20150404
869051,aluminum hydroxide (SUBS),20141123
769089,aluminum hydroxide-magnesium carbonate co-precipitate (SUBS),20190628
838567,alverine citrate (SUBS),20191115
1285867,amantadine hydrochloride (SUBS),20231013
