TMTID(VTM),FSN,CHANGEDATE
842362,90Y-ibritumomab tiuxetan (VTM),20140817
882284,A/new caledonia/20/99 (H1N1) like strain derived used IVR-116 + A/wellington/1/2004(IVR-139) + B/shanghai/361/2002 like strain used B/jiangsu/10/2003 (VTM),20150119
662396,abacavir (VTM),20131102
1002387,abacavir + dolutegravir + lamivudine (VTM),20170114
355368,abacavir + lamivudine (VTM),20130805
465132,abacavir + lamivudine + zidovudine (VTM),20130805
719133,abatacept (VTM),20140118
220305,abciximab (VTM),20130627
1167557,abemaciclib (VTM),20201202
683596,abiraterone acetate (VTM),20140104
1256177,abrocitinib (VTM),20230304
1281991,acalabrutinib (VTM),20230902
336637,acarbose (VTM),20130805
1287373,aceclofenac (VTM),20231104
220314,acemetacin (VTM),20130627
833831,acerola + ascorbic acid (VTM),20140803
1106240,acerola + ascorbic acid + bioflavonoids + calcium ascorbate + hesperidin + rosehips + rutin + sodium ascorbate (VTM),20190411
228683,acetazolamide (VTM),20130805
879608,acetic acid (VTM),20150105
919415,acetic acid + aluminium sulfate + boric acid + calcium carbonate (VTM),20150404
707769,acetic acid + aluminium sulfate + calcium carbonate (VTM),20140118
228829,acetylcysteine (VTM),20130805
221824,acetylcysteine + interferon alpha-2b + sodium citrate (VTM),20130627
527671,acetylcysteine + tuaminoheptane (VTM),20130914
872639,aciclovir (VTM),20141214
220322,acipimox (VTM),20130627
387982,acitretin (VTM),20130805
1304920,acotiamide hydrochloride hydrate (VTM),20240817
953459,acriflavinium chloride (VTM),20150716
890557,acriflavinium chloride + brilliant green + gentian violet (VTM),20150202
756312,activated charcoal (VTM),20140407
888090,activated charcoal + belladonna dry extract + magnesium hydroxide (VTM),20150202
742658,activated charcoal + belladonna dry extract + magnesium hydroxide + peppermint oil (VTM),20140304
744661,activated charcoal + diastase + extract of gentian + ginger oleoresin + pancreatin + papain + pepsin A + thiamine (VTM),20140304
1043534,activated charcoal + peppermint oil + sodium bicarbonate (VTM),20181129
904655,activated charcoal + sodium bicarbonate (VTM),20150228
220333,"activated protein c, recombinant human (VTM)",20130627
220346,adalimumab (VTM),20130627
487127,adapalene (VTM),20130830
656970,adapalene + benzoyl peroxide (VTM),20131102
646499,adefovir dipivoxil (VTM),20131005
536896,adenosine (VTM),20131005
425302,aescin (VTM),20130805
649221,aescin + diethylamine salicylate (VTM),20131005
322757,aescin + epl substance + rutin (VTM),20130805
692855,aesculin + cinchocaine + framycetin sulfate + hydrocortisone (VTM),20161017
887374,afatinib (VTM),20150202
824626,aflibercept (VTM),20140721
1303411,agalsidase alfa (VTM),20240802
719228,agalsidase beta (VTM),20140118
470027,agomelatine (VTM),20130805
854423,alanine + arginine + aspartic acid + glutamic acid + histidine + isoleucine + leucine + lysine acetate + methionine + phenylalanine + proline + serine + threonine + tryptophan + valine (VTM),20141004
805278,alanine + glutamine (VTM),20140602
227330,albendazole (VTM),20130805
750202,albumin + phenol (VTM),20140324
864398,alcaftadine (VTM),20141123
879216,alcohol (VTM),20150105
762480,alcohol + amyl acetate + castor oil + saccharin (VTM),20140407
843920,alcohol + camphor + capsicum tincture + compound cardamom tincture + strong ginger tincture (VTM),20140901
934704,alcohol + iodine + potassium iodide (VTM),20150503
934758,alcohol + peppermint spirit + sodium nitrate (VTM),20150503
1016307,alectinib (VTM),20170929
1043677,alemtuzumab (VTM),20181129
220351,alendronic acid (VTM),20130627
220367,alendronic acid + calcitriol (VTM),20130627
220379,alendronic acid + colecalciferol (VTM),20130627
235898,alfacalcidol (VTM),20130805
652022,alfuzosin hydrochloride (VTM),20131005
220380,alginic acid + dried aluminium hydroxide gel + magnesium carbonate (VTM),20130627
1187853,alginic acid + dried aluminum hydroxide gel + magnesium carbonate (VTM),20210429
719341,alglucosidase alfa (VTM),20140118
1026013,alirocumab (VTM),20180315
220398,aliskiren (VTM),20130627
220403,aliskiren + amlodipine (VTM),20130627
220419,aliskiren + hydrochlorothiazide (VTM),20130627
794953,alkyl ether sulfate + makon OP-9 + phospholipid-PTC + syloid 244 (VTM),20140519
874947,allergen extract bermuda (VTM),20141214
875086,allergen extract carelessweed (VTM),20141214
875157,allergen extract cat pelt (VTM),20141214
934988,allergen extract cockroach (VTM),20150503
912453,allergen extract d.farinac (VTM),20150314
912521,allergen extract d.pteronyssinus (VTM),20150314
875368,allergen extract fire ant (VTM),20141214
875220,allergen extract honey bee (VTM),20141214
875017,allergen extract johnson grass (VTM),20141214
874877,allergen extract mixed cockroach (VTM),20141214
874808,allergen extract mixed mite (VTM),20141214
875296,allergen extract mixed vespid (VTM),20141214
874733,allergen extract standardized mite (VTM),20141214
943185,allergen mixed vespid (VTM),20150515
943222,allergen yellow hornet (VTM),20150515
234071,allopurinol (VTM),20130805
234984,allopurinol + benzbromarone (VTM),20130805
683680,almitrine (VTM),20140104
645319,almitrine dimesilate + raubasine (VTM),20131005
943354,almond oil (VTM),20150515
842738,aloe + benzoin + storax + tolu balsam (VTM),20140901
780782,aloe vera (VTM),20140420
1000309,alogliptin (VTM),20161215
958551,alogliptin + pioglitazone (VTM),20150910
1175991,alpelisib (VTM),20210211
859439,alpha tocopherol acetate + ascorbic acid + calcium pantothenate + cyanocobalamin + ergocalciferol + folic acid + nicotinamide + pyridoxine hydrochloride + retinol + riboflavin + thiamine (VTM),20141019
913269,alpha tocopherol acetate + methyltestosterone (VTM),20150314
233081,alprazolam (VTM),20130805
799582,alprostadil (VTM),20140519
654703,alteplase (VTM),20131102
220426,altretamine (VTM),20130627
900006,aluminium acetate (VTM),20150218
880955,aluminium chloride (VTM),20150119
835391,aluminium chloride hexahydrate (VTM),20140803
1019857,aluminium chloride hexahydrate + hydroxyquinoline sulfate (VTM),20171202
709283,aluminium hydroxide (VTM),20140118
756090,aluminium hydroxide + atropine sulfate + kaolin + magnesium trisilicate (VTM),20140407
1032321,aluminium hydroxide + atropine sulfate + magnesium hydroxide (VTM),20180601
871242,aluminium hydroxide + belladonna extract + magnesium trisilicate (VTM),20141129
850211,aluminium hydroxide + cuttle fish bone (VTM),20140914
855219,aluminium hydroxide + cuttle fish bone + glycyrrhiza + peppermint oil (VTM),20141019
771402,aluminium hydroxide + diphenhydramine hydrochloride + lidocaine (VTM),20140407
643038,aluminium hydroxide + kaolin + magnesium trisilicate (VTM),20131005
709220,aluminium hydroxide + magnesium hydroxide (VTM),20140118
786756,aluminium hydroxide + magnesium hydroxide + magnesium trisilicate (VTM),20140504
738128,aluminium hydroxide + magnesium hydroxide + magnesium trisilicate + simeticone (VTM),20140214
689860,aluminium hydroxide + magnesium hydroxide + simeticone (VTM),20140104
740576,aluminium hydroxide + magnesium trisilicate (VTM),20140304
757114,aluminium hydroxide + magnesium trisilicate + peppermint oil (VTM),20140407
877169,aluminium hydroxide + magnesium trisilicate + simeticone (VTM),20150105
958215,aluminium hydroxide-magnesium carbonate co-dried gel + dicycloverine hydrochloride + simeticone (VTM),20150906
220435,aluminium sodium silicate + bismuth subnitrate + glycyrrhiza + sodium sulfate (VTM),20130627
915146,aluminium subacetate (VTM),20150314
869203,aluminum hydroxide + calcium carbonate + cinnamon oil + clove oil + diastase + fennel oil + levomenthol + mamylase + scopolia extract + sodium bicarbonate + thiamine mononitrate (VTM),20141123
975643,aluminum hydroxide + magnesium hydroxide (VTM),20160305
838598,alverine citrate + simeticone (VTM),20140817
1285880,amantadine hydrochloride (VTM),20231013
1294652,amaranthus hybridus allergen extract (VTM),20240328
683755,ambrisentan (VTM),20140104
237552,ambroxol hydrochloride (VTM),20130805
1293748,american cockroach (periplaneta americana) allergen extract (VTM),20240328
813685,amfenac (VTM),20140616
220442,amfenac sodium (VTM),20130627
719413,amifostine (VTM),20140118
537329,amikacin (VTM),20131005
1101163,amikacin sulfate (VTM),20190302
378581,amiloride hydrochloride (VTM),20130805
238471,amiloride hydrochloride + hydrochlorothiazide (VTM),20130805
379619,amiloride hydrochloride + hydrochlorothiazide + timolol (VTM),20130805
795297,aminacrine hydrochloride + cetrimide (VTM),20140519
1276441,amino acid + calcium + destrose + heparin (VTM),20230715
1026565,amino acid + calcium gluconate + dextrose (VTM),20180315
676910,amino acids (VTM),20140104
1308249,amino acids + calcium gluconate + dextrose + dipotassium phosphate + heparin + magnesium sulfate + potassium chloride + sodium acetate + sodium chloride + trace element + water soluble multivitamins + zinc sulfate (VTM),20240913
1164410,amino acids + calcium gluconate + dextrose + heparin (VTM),20201016
677262,amino acids + carbohydrates + minerals + multivitamins (VTM),20140104
730288,amino acids + dextrose (VTM),20140202
1220988,amino acids + dextrose + electrolytes + lipids (VTM),20220113
989046,amino acids + dextrose + electrolytes + multivitamins (VTM),20160703
